(HEAD -> patterns, origin/patterns) : 0be98cd2b4210bdaef27cf993ab8e88e585bd033
Timestamp: 2016-05-03 21:09:05 -0700
Epoch Timestamp: 1462334945
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7779, True
Tests/Unit/pos/zipW1.hs, 0.7181, True
Tests/Unit/pos/zipW.hs, 0.7216, True
Tests/Unit/pos/zipSO.hs, 0.7235, True
Tests/Unit/pos/zipper000.hs, 1.1439, True
Tests/Unit/pos/zipper0.hs, 1.4725, True
Tests/Unit/pos/zipper.hs, 2.6635, True
Tests/Unit/pos/wrap1.hs, 0.9366, True
Tests/Unit/pos/wrap0.hs, 0.7464, True
Tests/Unit/pos/Words1.hs, 0.6960, True
Tests/Unit/pos/Words.hs, 0.6689, True
Tests/Unit/pos/WBL0.hs, 1.4446, True
Tests/Unit/pos/WBL.hs, 1.4864, True
Tests/Unit/pos/vector2.hs, 1.2571, True
Tests/Unit/pos/vector1b.hs, 1.0164, True
Tests/Unit/pos/vector1a.hs, 1.0077, True
Tests/Unit/pos/vector1.hs, 0.9757, True
Tests/Unit/pos/vector00.hs, 0.7759, True
Tests/Unit/pos/vector0.hs, 0.9771, True
Tests/Unit/pos/vecloop.hs, 0.8467, True
Tests/Unit/pos/Variance.hs, 0.7107, True
Tests/Unit/pos/unusedtyvars.hs, 0.6882, True
Tests/Unit/pos/tyvar.hs, 0.6938, True
Tests/Unit/pos/TypeAlias.hs, 0.6722, True
Tests/Unit/pos/tyfam0.hs, 0.7434, True
Tests/Unit/pos/tyExpr.hs, 0.6466, True
Tests/Unit/pos/tyclass0.hs, 0.6531, True
Tests/Unit/pos/tupparse.hs, 0.7298, True
Tests/Unit/pos/tup0.hs, 0.6690, True
Tests/Unit/pos/transTAG.hs, 1.4245, True
Tests/Unit/pos/transpose.hs, 1.0639, True
Tests/Unit/pos/trans.hs, 0.8024, True
Tests/Unit/pos/ToyMVar.hs, 0.9103, True
Tests/Unit/pos/TopLevel.hs, 0.7039, True
Tests/Unit/pos/top0.hs, 0.7373, True
Tests/Unit/pos/TokenType.hs, 0.6928, True
Tests/Unit/pos/testRec.hs, 0.7354, True
Tests/Unit/pos/Test761.hs, 0.7299, True
Tests/Unit/pos/test2.hs, 0.6950, True
Tests/Unit/pos/test1.hs, 0.7274, True
Tests/Unit/pos/test00c.hs, 0.7730, True
Tests/Unit/pos/test00b.hs, 0.7128, True
Tests/Unit/pos/test000.hs, 0.7292, True
Tests/Unit/pos/test00.old.hs, 0.7162, True
Tests/Unit/pos/test00.hs, 0.7295, True
Tests/Unit/pos/test00-int.hs, 0.7283, True
Tests/Unit/pos/test0.hs, 0.7354, True
Tests/Unit/pos/TerminationNum0.hs, 0.6880, True
Tests/Unit/pos/TerminationNum.hs, 0.6747, True
Tests/Unit/pos/Termination.lhs, 0.7641, True
Tests/Unit/pos/term0.hs, 0.7631, True
Tests/Unit/pos/Term.hs, 0.7200, True
Tests/Unit/pos/take.hs, 0.9286, True
Tests/Unit/pos/tagBinder.hs, 0.6705, True
Tests/Unit/pos/T598.hs, 0.8338, True
Tests/Unit/pos/T595a.hs, 0.7042, True
Tests/Unit/pos/T595.hs, 0.7807, True
Tests/Unit/pos/T531.hs, 0.6875, True
Tests/Unit/pos/Sum.hs, 0.7334, True
Tests/Unit/pos/StructRec.hs, 0.7094, True
Tests/Unit/pos/Strings.hs, 0.7611, True
Tests/Unit/pos/StringLit.hs, 0.6634, True
Tests/Unit/pos/string00.hs, 0.7449, True
Tests/Unit/pos/StrictPair1.hs, 0.9313, True
Tests/Unit/pos/StrictPair0.hs, 0.7287, True
Tests/Unit/pos/StreamInvariants.hs, 0.6801, True
Tests/Unit/pos/stateInvarint.hs, 0.8413, True
Tests/Unit/pos/StateF00.hs, 0.7108, True
Tests/Unit/pos/StateConstraints00.hs, 0.7147, True
Tests/Unit/pos/StateConstraints0.hs, 8.5404, True
Tests/Unit/pos/StateConstraints.hs, 4.7994, True
Tests/Unit/pos/State1.hs, 0.7145, True
Tests/Unit/pos/state00.hs, 0.7311, True
Tests/Unit/pos/State.hs, 0.8649, True
Tests/Unit/pos/stacks0.hs, 0.7520, True
Tests/Unit/pos/StackClass.hs, 0.7098, True
Tests/Unit/pos/spec0.hs, 0.7192, True
Tests/Unit/pos/Solver.hs, 1.1655, True
Tests/Unit/pos/SimplerNotation.hs, 0.6842, True
Tests/Unit/pos/selfList.hs, 0.7685, True
Tests/Unit/pos/scanr.hs, 0.9326, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7082, True
Tests/Unit/pos/risers.hs, 1.3142, True
Tests/Unit/pos/ResolvePred.hs, 0.7283, True
Tests/Unit/pos/ResolveB.hs, 0.6638, True
Tests/Unit/pos/ResolveA.hs, 0.6671, True
Tests/Unit/pos/Resolve.hs, 0.6659, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.0184, True
Tests/Unit/pos/Repeat.hs, 0.7048, True
Tests/Unit/pos/RelativeComplete.hs, 0.7241, True
Tests/Unit/pos/recursion0.hs, 0.6988, True
