 (HEAD -> patterns, origin/patterns) : 3f4fd534155e2c2d4ae1a887d03f83f905a5bc9f
Timestamp: 2016-04-29 22:01:58 -0700
Epoch Timestamp: 1461992518
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7606, True
Tests/Unit/pos/zipW1.hs, 0.6969, True
Tests/Unit/pos/zipW.hs, 0.6900, True
Tests/Unit/pos/zipSO.hs, 0.7178, True
Tests/Unit/pos/zipper000.hs, 0.8876, True
Tests/Unit/pos/zipper0.hs, 1.0121, True
Tests/Unit/pos/zipper.hs, 1.5087, True
Tests/Unit/pos/wrap1.hs, 0.8836, True
Tests/Unit/pos/wrap0.hs, 0.7384, True
Tests/Unit/pos/Words1.hs, 0.6880, True
Tests/Unit/pos/Words.hs, 0.6509, True
Tests/Unit/pos/WBL0.hs, 1.3617, True
Tests/Unit/pos/WBL.hs, 1.4365, True
Tests/Unit/pos/vector2.hs, 1.1692, True
Tests/Unit/pos/vector1b.hs, 0.9739, True
Tests/Unit/pos/vector1a.hs, 1.0063, True
Tests/Unit/pos/vector1.hs, 0.9706, True
Tests/Unit/pos/vector00.hs, 0.7661, True
Tests/Unit/pos/vector0.hs, 0.9809, True
Tests/Unit/pos/vecloop.hs, 0.8635, True
Tests/Unit/pos/Variance.hs, 0.6591, True
Tests/Unit/pos/unusedtyvars.hs, 0.6473, True
Tests/Unit/pos/tyvar.hs, 0.6514, True
Tests/Unit/pos/TypeAlias.hs, 0.6343, True
Tests/Unit/pos/tyfam0.hs, 0.6730, True
Tests/Unit/pos/tyExpr.hs, 0.6518, True
Tests/Unit/pos/tyclass0.hs, 0.6524, True
Tests/Unit/pos/tupparse.hs, 0.7523, True
Tests/Unit/pos/tup0.hs, 0.6502, True
Tests/Unit/pos/transTAG.hs, 1.4278, True
Tests/Unit/pos/transpose.hs, 1.0267, True
Tests/Unit/pos/trans.hs, 0.7880, True
Tests/Unit/pos/ToyMVar.hs, 0.8699, True
Tests/Unit/pos/TopLevel.hs, 0.6706, True
Tests/Unit/pos/top0.hs, 0.7335, True
Tests/Unit/pos/TokenType.hs, 0.6699, True
Tests/Unit/pos/testRec.hs, 0.7127, True
Tests/Unit/pos/Test761.hs, 0.7663, True
Tests/Unit/pos/test2.hs, 0.7042, True
Tests/Unit/pos/test1.hs, 0.7005, True
Tests/Unit/pos/test00c.hs, 0.7641, True
Tests/Unit/pos/test00b.hs, 0.7237, True
Tests/Unit/pos/test000.hs, 0.7105, True
Tests/Unit/pos/test00.old.hs, 0.7130, True
Tests/Unit/pos/test00.hs, 0.6853, True
