"test"," time-1469339406"," time-1469340199","range"
"Tests/Benchmarks/esop/Base.hs"," 68.9477"," 61.1932","7"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 30.1503"," 23.8435","6"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 33.3772"," 30.0434","3"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 38.2249"," 34.4015","3"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 46.9608"," 43.7057","3"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 21.0377"," 18.6971","2"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 5.0662"," 2.7734","2"
"Tests/Benchmarks/icfp_pos/RIO2.hs"," 18.0672"," 15.9303","2"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 18.9896"," 16.8097","2"
"Tests/Unit/neg/StateConstraints0.hs"," 17.6568"," 15.1744","2"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 31.3288"," 29.3917","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 18.4718"," 16.9000","1"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 8.7150"," 7.2262","1"
"Tests/Benchmarks/text/Data/Text.hs"," 32.5397"," 31.4656","1"
"Tests/Benchmarks/text/Data/Text/Lazy/Encoding.hs"," 14.0132"," 12.7218","1"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 39.8810"," 40.8837","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 19.9698"," 18.3158","1"
"Tests/Unit/eq_pos/MonadicLawsMaybe.hs"," 7.7492"," 6.4263","1"
"Tests/Unit/pos/Map0.hs"," 10.9111"," 9.4912","1"
"Tests/Unit/pos/OrdList.hs"," 15.2582"," 13.6786","1"
"Tests/Unit/pos/kmpIO.hs"," 1.0194"," 2.8081","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 7.5208"," 6.9022","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Internal.hs"," 5.6606"," 5.1559","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Char8.hs"," 9.3433"," 8.4287","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Internal.hs"," 1.6906"," 1.4756","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Unsafe.hs"," 1.8617"," 1.7293","0"
"Tests/Benchmarks/esop/Array.hs"," 2.0541"," 1.8469","0"
"Tests/Benchmarks/esop/Fib.hs"," 1.3248"," 1.1109","0"
"Tests/Benchmarks/esop/GhcListSort.hs"," 6.0487"," 5.4444","0"
"Tests/Benchmarks/esop/ListSort.hs"," 2.1217"," 1.8565","0"
"Tests/Benchmarks/esop/Splay.hs"," 6.0938"," 5.4488","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.4177"," 1.3263","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 4.0490"," 3.9546","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 1.9191"," 1.8979","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 1.6531"," 1.6577","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 2.3093"," 2.3081","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 0.7878"," 0.7972","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 3.2860"," 3.4583","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/InlineCSS.hs"," 1.6986"," 1.8807","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 11.3983"," 11.9914","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.0649"," 2.1228","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.8913"," 0.9617","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 0.9490"," 0.9010","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/TTY.hs"," 1.2609"," 1.6541","0"
"Tests/Benchmarks/hscolour/Setup.hs"," 0.7561"," 0.6972","0"
"Tests/Benchmarks/icfp_neg/Composition.hs"," 0.8426"," 0.8542","0"
"Tests/Benchmarks/icfp_neg/DBMovies.hs"," 2.7288"," 2.7245","0"
"Tests/Benchmarks/icfp_neg/IfM.hs"," 5.0944"," 5.2169","0"
"Tests/Benchmarks/icfp_neg/Records.hs"," 0.8891"," 0.8964","0"
"Tests/Benchmarks/icfp_neg/TestM.hs"," 0.7821"," 0.7967","0"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 32.2167"," 31.7325","0"
"Tests/Benchmarks/icfp_neg/WhileM.hs"," 1.1726"," 1.1485","0"
"Tests/Benchmarks/icfp_pos/Append.hs"," 1.1422"," 1.1208","0"
"Tests/Benchmarks/icfp_pos/CompareConstraints.hs"," 1.0090"," 1.0074","0"
"Tests/Benchmarks/icfp_pos/Composition.hs"," 0.8248"," 0.8305","0"
"Tests/Benchmarks/icfp_pos/CopyRec.hs"," 16.1157"," 15.7740","0"
"Tests/Benchmarks/icfp_pos/DBMovies.hs"," 3.0052"," 2.9324","0"
"Tests/Benchmarks/icfp_pos/Filter.lhs"," 1.0594"," 1.0620","0"
"Tests/Benchmarks/icfp_pos/FindRec.hs"," 6.4830"," 6.4200","0"
