"test"," time-1 "," time-2 "," time-3 ","range"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 112.9519"," 4451.3127"," 10530.6624","10417"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Intro.hs"," 10.9437"," 4688.0954"," 3238.9121","4677"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 5.0154"," 843.1205"," 640.6673","838"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 88.7887"," 531.3824"," 534.2212","445"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 108.1675"," 516.2601"," 514.0648","408"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 77.6232"," 415.7321"," 412.1480","338"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Classify.hs"," 292.7347"," 535.2814"," 257.2642","278"
"Tests/Benchmarks/esop/Base.hs"," 150.2480"," 316.6560"," 324.9209","174"
"Tests/Benchmarks/text/Data/Text.hs"," 92.5250"," 205.3368"," 204.6008","112"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 36.5541"," 106.6682"," 110.4684","73"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 100.8564"," 165.9662"," 164.1941","65"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 120.8033"," 167.5887"," 173.4019","52"
"Tests/Benchmarks/text/Data/Text/Fusion.hs"," 31.8402"," 63.3248"," 64.8735","33"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Char8.hs"," 10.6642"," 33.5060"," 34.5882","23"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 24.2618"," 41.2549"," 42.6793","18"
"Tests/Benchmarks/text/Data/Text/Search.hs"," 14.6383"," 28.2307"," 30.9532","16"
"Tests/Unit/pos/RBTree.hs"," 16.6132"," 1.1901"," 1.1877","15"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Merge.hs"," 6.8526"," 20.3597"," 20.7839","13"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 20.5818"," 30.0685"," 31.6711","11"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ACSS.hs"," 23.6204"," 32.8200"," 33.0144","9"
"Tests/Unit/pos/Map0.hs"," 23.3862"," 33.1467"," 32.5621","9"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Anchors.hs"," 86.7908"," 92.2895"," 94.9321","8"
"Tests/Unit/pos/Map2.hs"," 24.5594"," 32.4270"," 33.2469","8"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 10.8287"," 18.1284"," 18.7262","7"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/AmericanFlag.hs"," 10.0395"," 16.5727"," 17.0425","7"
"Tests/Unit/pos/Map.hs"," 23.6803"," 31.0450"," 31.2184","7"
"Tests/Benchmarks/text/Data/Text/Lazy/Fusion.hs"," 9.6434"," 14.9515"," 15.7254","6"
"Tests/Benchmarks/icfp_pos/RIO.hs"," 109.2435"," 104.1619"," 106.5413","5"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 18.1147"," 22.2472"," 23.2054","5"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Radix.hs"," 4.7559"," 9.5357"," 9.9385","5"
"Tests/Unit/pos/LambdaEval.hs"," 27.5287"," 33.0207"," 32.3677","5"
"Tests/Benchmarks/bytestring/Data/ByteString/Internal.hs"," 9.9673"," 14.5728"," 14.6111","4"
"Tests/Benchmarks/esop/Array.hs"," 6.3630"," 10.1864"," 10.4236","4"
"Tests/Benchmarks/esop/Fib.hs"," 2.3596"," 6.3562"," 7.0093","4"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 5.4971"," 9.9764"," 10.2802","4"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 7.9947"," 11.5818"," 11.3402","3"
"Tests/Unit/pos/rangeAdt.hs"," 2.5794"," 5.6818"," 5.6060","3"
"Tests/Benchmarks/esop/Splay.hs"," 13.0589"," 15.1108"," 15.3720","2"
"Tests/Benchmarks/text/Data/Text/UnsafeChar.hs"," 3.8266"," 5.3935"," 5.8628","2"
"Tests/Unit/eq_pos/AppendArrow.hs"," 34.0040"," 36.0644"," 33.6866","2"
"Tests/Unit/pos/BST.hs"," 12.1301"," 14.6856"," 13.9785","2"
"Tests/Unit/pos/kmpIO.hs"," 3.2965"," 0.9070"," 0.9053","2"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 177.7061"," 176.9734"," 176.3245","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 2.7245"," 3.6896"," 3.8072","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 45.0829"," 45.8318"," 46.4895","1"
"Tests/Benchmarks/icfp_pos/CopyRec.hs"," 27.4679"," 28.5383"," 28.4449","1"
"Tests/Benchmarks/text/Data/Text/Fusion/Size.hs"," 2.4772"," 3.4949"," 3.5643","1"
"Tests/Benchmarks/text/Data/Text/Lazy/Encoding.hs"," 8.6587"," 10.5608"," 10.5101","1"
"Tests/Unit/eq_pos/MapAppend.hs"," 26.8628"," 27.5458"," 27.8991","1"
"Tests/Unit/eq_pos/MapFusion.hs"," 55.9135"," 55.2274"," 54.6583","1"
"Tests/Unit/neg/vector2.hs"," 1.7847"," 3.1117"," 3.2065","1"
"Tests/Unit/pos/OrdList.hs"," 25.7436"," 24.5647"," 24.4843","1"
"Tests/Unit/pos/kmp.hs"," 2.5347"," 3.6361"," 3.7023","1"
"Tests/Unit/pos/vector2.hs"," 1.6878"," 3.4172"," 3.2118","1"
"Tests/Unit/pos/zipper.hs"," 4.1420"," 4.7214"," 5.2161","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Internal.hs"," 1.8029"," 1.8613"," 1.9024","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Unsafe.hs"," 2.9455"," 3.0337"," 3.0378","0"
"Tests/Benchmarks/esop/GhcListSort.hs"," 7.8698"," 7.7303"," 7.8943","0"
"Tests/Benchmarks/esop/ListSort.hs"," 4.1772"," 4.2454"," 4.2936","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.9818"," 1.8465"," 1.9092","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 11.3424"," 11.8693"," 12.2633","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 2.2057"," 2.1030"," 2.1552","0"
