"test"," time-1461115964"," time-1461161168"," time-1461161168"," time-1461992518"," time-1462334945","range"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 77.9382"," 22.3694"," 67.7892"," 19.6374"," 38.1377","58"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 77.0630"," 21.3155"," 56.4304"," 22.2053"," 28.5856","55"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 90.8144"," 37.8280"," 90.4680"," 38.1936"," 46.4408","52"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 11.7205"," 60.5894"," 11.6302"," 23.2339"," 10.1489","50"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 14.1102"," 60.9492"," 14.1096"," 23.3353"," 10.9774","49"
"Tests/Benchmarks/text/Data/Text.hs"," 68.5614"," 22.2863"," 64.4665"," 19.6565"," 23.9995","48"
"Tests/Benchmarks/text/Data/Text/Lazy/Fusion.hs"," 6.7622"," 53.6729"," 6.4198"," 24.0469"," 23.2490","47"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 71.8703"," 33.5933"," 75.2189"," 28.9404"," 29.5873","46"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 92.8435"," 57.4058"," 76.3226"," 50.3276"," 48.1508","44"
"Tests/Benchmarks/esop/Base.hs"," 95.6293"," 68.8753"," 90.8354"," 66.5693"," 68.0141","29"
"Tests/Unit/eq_pos/AppendArrow.hs"," 52.7572"," 53.9065"," 56.2571"," 40.8425"," 38.9029","17"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 36.7709"," 21.4015"," 31.2578"," 20.0545"," 23.7214","16"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 32.8084"," 18.6415"," 27.6727"," 17.1964"," 19.7431","15"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 4.9952"," 17.0658"," 3.5187"," 15.4052"," 3.0134","14"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 22.7849"," 11.2061"," 18.4244"," 10.7876"," 10.0751","12"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 28.6388"," 38.7821"," 27.1794"," 33.9605"," 29.2212","11"
"Tests/Unit/pos/LambdaEval.hs"," 21.6091"," 13.6356"," 21.8905"," 10.9887"," 17.7729","10"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ACSS.hs"," 9.8836"," 10.5090"," 8.9472"," 10.1793"," 1.0388","9"
"Tests/Benchmarks/icfp_pos/FindRec.hs"," 13.8420"," 14.7916"," 9.0043"," 9.5407"," 5.6848","9"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 24.1942"," 31.7217"," 24.5092"," 23.1211"," 22.9831","8"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 13.1966"," 6.3636"," 12.3776"," 6.4425"," 6.0130","7"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Optimal.hs"," 6.5527"," 14.4304"," 6.4456"," 7.1836"," 7.0576","7"
"Tests/Unit/eq_pos/ConcatMap.hs"," 4.2933"," 4.3987"," 4.5068"," 11.5887"," 10.7808","7"
"Tests/Unit/pos/jeff.hs"," 10.7548"," 4.2838"," 9.8595"," 3.7451"," 3.9989","7"
"Tests/Unit/pos/OrdList.hs"," 14.5703"," 9.9010"," 15.2710"," 9.1858"," 9.5882","6"
"Tests/Benchmarks/bytestring/Data/ByteString/Internal.hs"," 4.7992"," 10.0119"," 4.3084"," 6.5749"," 5.2114","5"
"Tests/Benchmarks/icfp_neg/IfM.hs"," 6.5112"," 6.4611"," 4.9509"," 0.7354"," 0.7832","5"
"Tests/Benchmarks/icfp_pos/IfM.hs"," 6.1692"," 6.4106"," 4.8886"," 0.7130"," 0.7307","5"
"Tests/Unit/pos/Map.hs"," 14.2898"," 19.0081"," 13.9903"," 15.8614"," 16.1743","5"
"Tests/Unit/pos/Map0.hs"," 14.5376"," 19.3987"," 14.1189"," 15.9887"," 16.3460","5"
"Tests/Benchmarks/text/Data/Text/Search.hs"," 11.7346"," 8.3229"," 12.3011"," 8.1486"," 7.9495","4"
"Tests/Unit/pos/Map2.hs"," 15.0500"," 19.5226"," 14.8691"," 15.9707"," 16.4662","4"
"Tests/Benchmarks/icfp_pos/IfM2.hs"," 4.6050"," 3.5241"," 3.0850"," 0.7267"," 0.7903","3"
"Tests/Benchmarks/icfp_pos/RIO2.hs"," 13.8815"," 16.9687"," 13.3583"," 14.9629"," 15.5460","3"
"Tests/Unit/neg/StateConstraints0.hs"," 14.9442"," 18.8300"," 14.9628"," 14.9884"," 15.2835","3"
"Tests/Benchmarks/esop/Array.hs"," 4.0641"," 1.7592"," 4.0028"," 1.7098"," 3.7070","2"
"Tests/Benchmarks/esop/Splay.hs"," 7.9526"," 5.2092"," 7.9886"," 5.2286"," 7.9726","2"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 5.6755"," 3.7875"," 4.8396"," 3.5744"," 3.3282","2"
"Tests/Benchmarks/icfp_pos/TwiceM.hs"," 5.2994"," 7.8358"," 5.3438"," 6.7638"," 6.2034","2"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/AmericanFlag.hs"," 5.9090"," 3.9934"," 4.6489"," 3.8506"," 3.5875","2"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Intro.hs"," 6.4753"," 5.2311"," 6.5338"," 4.2000"," 4.1437","2"
"Tests/Unit/eq_pos/AppendVerbose.hs"," 3.3054"," 1.1857"," 3.3599"," 1.1662"," 1.5804","2"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 3.3978"," 3.3708"," 3.3483"," 5.5097"," 5.7040","2"
"Tests/Unit/pos/BST.hs"," 7.3211"," 6.0371"," 7.1930"," 4.8694"," 5.1684","2"
"Tests/Unit/pos/RBTree-ord.hs"," 7.3731"," 5.5323"," 7.2193"," 5.2703"," 5.7282","2"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 6.0534"," 4.8764"," 5.4509"," 4.8816"," 4.6709","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 4.6478"," 3.0821"," 4.2309"," 2.9344"," 2.6748","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.9217"," 1.9565"," 2.4017"," 1.8281"," 1.7505","1"
"Tests/Benchmarks/icfp_neg/DBMovies.hs"," 4.0005"," 2.6244"," 3.4433"," 2.5480"," 2.5490","1"
"Tests/Benchmarks/icfp_pos/DBMovies.hs"," 4.5238"," 2.8829"," 3.7959"," 2.8348"," 2.6765","1"
"Tests/Benchmarks/text/Data/Text/UnsafeChar.hs"," 2.9527"," 2.2503"," 3.1121"," 1.9979"," 3.0164","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Merge.hs"," 4.4669"," 6.1200"," 4.4341"," 4.7498"," 4.7512","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 3.9284"," 3.5654"," 3.9289"," 2.4122"," 2.4534","1"
"Tests/Unit/eq_neg/Append.hs"," 2.3612"," 1.1600"," 2.5261"," 1.0864"," 1.4322","1"
