"test"," time-1461115964"," time-1465514549","range"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 91.4475"," 7.0676","84"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 92.5313"," 36.1889","56"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 74.6813"," 24.5875","50"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 82.1875"," 33.2690","48"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 72.3936"," 25.1135","47"
"Tests/Benchmarks/text/Data/Text.hs"," 69.4198"," 26.4821","42"
"Tests/Benchmarks/esop/Base.hs"," 93.8627"," 55.3111","38"
"Tests/Benchmarks/text/Data/Text/Fusion.hs"," 21.4740"," 6.1544","15"
"Tests/Unit/pos/LambdaEval.hs"," 20.6853"," 4.9071","15"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 37.0798"," 22.4429","14"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 33.4954"," 18.8191","14"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 22.6761"," 11.0012","11"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 24.5698"," 12.6445","11"
"Tests/Unit/eq_pos/ConcatMap.hs"," 4.2577"," 15.9769","11"
"Tests/Unit/pos/jeff.hs"," 10.4742"," 2.7389","7"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 14.1340"," 7.6153","6"
"Tests/Unit/eq_pos/AppendArrow.hs"," 55.0089"," 48.6887","6"
"Tests/Unit/pos/Map0.hs"," 14.8921"," 8.8230","6"
"Tests/Unit/pos/Map2.hs"," 15.3667"," 9.1030","6"
"Tests/Unit/pos/RBTree.hs"," 1.0645"," 7.2304","6"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 11.7738"," 6.7434","5"
"Tests/Benchmarks/icfp_pos/CopyRec.hs"," 20.6140"," 14.8951","5"
"Tests/Benchmarks/icfp_pos/FindRec.hs"," 13.4834"," 8.1467","5"
"Tests/Unit/pos/Map.hs"," 14.4885"," 8.8038","5"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 13.2144"," 9.0927","4"
"Tests/Benchmarks/text/Data/Text/Lazy/Encoding.hs"," 7.2093"," 11.2370","4"
"Tests/Unit/pos/OrdList.hs"," 14.5972"," 9.6017","4"
"Tests/Benchmarks/esop/Splay.hs"," 7.9409"," 4.2872","3"
"Tests/Benchmarks/text/Data/Text/Search.hs"," 12.1622"," 8.9562","3"
"Tests/Unit/eq_pos/MonadicLaws.hs"," 3.3120"," 6.9345","3"
"Tests/Benchmarks/esop/Array.hs"," 4.1313"," 1.5133","2"
"Tests/Benchmarks/icfp_neg/IfM.hs"," 6.3282"," 4.1998","2"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 28.3422"," 30.5306","2"
"Tests/Benchmarks/icfp_pos/IfM.hs"," 6.1541"," 4.1211","2"
"Tests/Benchmarks/icfp_pos/IfM2.hs"," 4.5268"," 2.0349","2"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 4.4511"," 2.1606","2"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Intro.hs"," 6.5245"," 4.2040","2"
"Tests/Unit/pos/BST.hs"," 7.0735"," 4.7266","2"
"Tests/Unit/pos/RBTree-ord.hs"," 7.4269"," 5.2011","2"
"Tests/Benchmarks/bytestring/Data/ByteString/Internal.hs"," 5.0891"," 3.5117","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Char8.hs"," 6.6627"," 7.9523","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 5.7066"," 3.7747","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 4.6240"," 2.8372","1"
