 (HEAD) : bc6915a05b0342adb25b1abbe700123db744c2ad
Timestamp: 2016-04-19 18:32:44 -0700
Epoch Timestamp: 1461115964
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.6404, True
Tests/Unit/pos/zipW1.hs, 0.7102, True
Tests/Unit/pos/zipW.hs, 0.7255, True
Tests/Unit/pos/zipSO.hs, 0.8473, True
Tests/Unit/pos/zipper000.hs, 0.9423, True
Tests/Unit/pos/zipper0.hs, 1.2390, True
Tests/Unit/pos/zipper.hs, 2.8468, True
Tests/Unit/pos/wrap1.hs, 0.9363, True
Tests/Unit/pos/wrap0.hs, 0.7470, True
Tests/Unit/pos/Words1.hs, 0.6711, True
Tests/Unit/pos/Words.hs, 0.6647, True
Tests/Unit/pos/WBL0.hs, 1.6701, True
Tests/Unit/pos/WBL.hs, 1.6341, True
Tests/Unit/pos/vector2.hs, 1.2476, True
Tests/Unit/pos/vector1b.hs, 1.0642, True
Tests/Unit/pos/vector1a.hs, 1.0617, True
Tests/Unit/pos/vector1.hs, 1.0184, True
Tests/Unit/pos/vector00.hs, 0.7439, True
Tests/Unit/pos/vector0.hs, 1.1726, True
Tests/Unit/pos/vecloop.hs, 0.8877, True
Tests/Unit/pos/Variance.hs, 0.6595, True
Tests/Unit/pos/unusedtyvars.hs, 0.6831, True
Tests/Unit/pos/tyvar.hs, 0.6776, True
Tests/Unit/pos/TypeAlias.hs, 0.6994, True
Tests/Unit/pos/tyfam0.hs, 0.7035, True
Tests/Unit/pos/tyExpr.hs, 0.6717, True
Tests/Unit/pos/tyclass0.hs, 0.6658, True
Tests/Unit/pos/tupparse.hs, 0.7157, True
Tests/Unit/pos/tup0.hs, 0.6867, True
Tests/Unit/pos/transTAG.hs, 1.5073, True
Tests/Unit/pos/transpose.hs, 1.6575, True
Tests/Unit/pos/trans.hs, 0.9484, True
Tests/Unit/pos/ToyMVar.hs, 0.9025, True
Tests/Unit/pos/TopLevel.hs, 0.6983, True
Tests/Unit/pos/top0.hs, 0.7444, True
Tests/Unit/pos/TokenType.hs, 0.6623, True
Tests/Unit/pos/testRec.hs, 0.7203, True
Tests/Unit/pos/Test761.hs, 0.7008, True
Tests/Unit/pos/test2.hs, 0.6920, True
Tests/Unit/pos/test1.hs, 0.7095, True
Tests/Unit/pos/test00c.hs, 0.8530, True
Tests/Unit/pos/test00b.hs, 0.7024, True
Tests/Unit/pos/test000.hs, 0.7134, True
Tests/Unit/pos/test00.old.hs, 0.6992, True
Tests/Unit/pos/test00.hs, 0.7048, True
Tests/Unit/pos/test00-int.hs, 0.7025, True
Tests/Unit/pos/test0.hs, 0.7159, True
Tests/Unit/pos/TerminationNum0.hs, 0.6836, True
Tests/Unit/pos/TerminationNum.hs, 0.6812, True
Tests/Unit/pos/Termination.lhs, 0.7622, True
Tests/Unit/pos/term0.hs, 0.7538, True
Tests/Unit/pos/Term.hs, 0.7103, True
Tests/Unit/pos/take.hs, 0.9899, True
Tests/Unit/pos/tagBinder.hs, 0.6732, True
Tests/Unit/pos/T598.hs, 0.7941, True
Tests/Unit/pos/T595a.hs, 0.6272, True
Tests/Unit/pos/T595.hs, 0.7044, True
Tests/Unit/pos/T531.hs, 0.6717, True
Tests/Unit/pos/Sum.hs, 0.7504, True
Tests/Unit/pos/StructRec.hs, 0.7058, True
Tests/Unit/pos/Strings.hs, 0.7115, True
Tests/Unit/pos/StringLit.hs, 0.6310, True
Tests/Unit/pos/string00.hs, 0.7118, True
Tests/Unit/pos/StrictPair1.hs, 0.8995, True
Tests/Unit/pos/StrictPair0.hs, 0.7122, True
Tests/Unit/pos/StreamInvariants.hs, 0.6662, True
Tests/Unit/pos/stateInvarint.hs, 0.8384, True
Tests/Unit/pos/StateF00.hs, 0.7323, True
Tests/Unit/pos/StateConstraints00.hs, 0.6854, True
Tests/Unit/pos/StateConstraints0.hs, 8.3035, True
Tests/Unit/pos/StateConstraints.hs, 4.7628, True
Tests/Unit/pos/State1.hs, 0.7371, True
Tests/Unit/pos/state00.hs, 0.7043, True
Tests/Unit/pos/State.hs, 0.8490, True
Tests/Unit/pos/stacks0.hs, 0.7177, True
Tests/Unit/pos/StackClass.hs, 0.6994, True
Tests/Unit/pos/spec0.hs, 0.7067, True
Tests/Unit/pos/Solver.hs, 1.1415, True
Tests/Unit/pos/SimplerNotation.hs, 0.6644, True
Tests/Unit/pos/selfList.hs, 0.9342, True
Tests/Unit/pos/scanr.hs, 0.8242, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7104, True
Tests/Unit/pos/risers.hs, 1.1573, True
Tests/Unit/pos/ResolvePred.hs, 0.6844, True
Tests/Unit/pos/ResolveB.hs, 0.6587, True
Tests/Unit/pos/ResolveA.hs, 0.6753, True
Tests/Unit/pos/Resolve.hs, 0.6545, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.0183, True
Tests/Unit/pos/Repeat.hs, 0.7103, True
Tests/Unit/pos/RelativeComplete.hs, 0.7330, True
Tests/Unit/pos/recursion0.hs, 0.6890, True
Tests/Unit/pos/RecSelector.hs, 0.6748, True
Tests/Unit/pos/RecQSort0.hs, 0.8592, True
Tests/Unit/pos/RecQSort.hs, 0.8697, True
Tests/Unit/pos/RecordSelectorError.hs, 0.6808, True
Tests/Unit/pos/record1.hs, 0.6665, True
Tests/Unit/pos/record0.hs, 0.7416, True
Tests/Unit/pos/rec_annot_go.hs, 0.7717, True
Tests/Unit/pos/RealProps1.hs, 0.6978, True
Tests/Unit/pos/RealProps.hs, 0.6917, True
Tests/Unit/pos/RBTree.hs, 1.0645, True
Tests/Unit/pos/RBTree-ord.hs, 7.4269, True
Tests/Unit/pos/RBTree-height.hs, 3.4232, True
Tests/Unit/pos/RBTree-color.hs, 3.7885, True
Tests/Unit/pos/RBTree-col-height.hs, 5.2335, True
Tests/Unit/pos/rangeAdt.hs, 1.6439, True
Tests/Unit/pos/range1.hs, 0.7373, True
Tests/Unit/pos/range.hs, 0.9395, True
Tests/Unit/pos/qualTest.hs, 0.6958, True
Tests/Unit/pos/propmeasure1.hs, 0.6615, True
Tests/Unit/pos/propmeasure.hs, 0.7257, True
Tests/Unit/pos/Propability.hs, 0.7286, True
Tests/Unit/pos/profcrasher.hs, 0.6869, True
Tests/Unit/pos/Product.hs, 0.9269, True
Tests/Unit/pos/primInt0.hs, 0.8315, True
Tests/Unit/pos/pred.hs, 0.6603, True
Tests/Unit/pos/pragma0.hs, 0.6413, True
Tests/Unit/pos/poslist_dc.hs, 0.7726, True
Tests/Unit/pos/poslist.hs, 0.9469, True
Tests/Unit/pos/polyqual.hs, 0.9356, True
Tests/Unit/pos/polyfun.hs, 0.7246, True
Tests/Unit/pos/poly4.hs, 0.6904, True
Tests/Unit/pos/poly3a.hs, 0.6973, True
Tests/Unit/pos/poly3.hs, 0.6684, True
Tests/Unit/pos/poly2.hs, 0.7273, True
Tests/Unit/pos/poly2-degenerate.hs, 0.7350, True
Tests/Unit/pos/poly1.hs, 0.7308, True
Tests/Unit/pos/poly0.hs, 0.7590, True
Tests/Unit/pos/PointDist.hs, 0.9766, True
Tests/Unit/pos/PlugHoles.hs, 0.6583, True
Tests/Unit/pos/PersistentVector.hs, 0.7823, True
Tests/Unit/pos/Permutation.hs, 1.8419, True
Tests/Unit/pos/partialmeasure.hs, 0.6985, True
Tests/Unit/pos/partial-tycon.hs, 0.6663, True
Tests/Unit/pos/pargs1.hs, 0.6741, True
Tests/Unit/pos/pargs.hs, 0.6519, True
Tests/Unit/pos/PairMeasure0.hs, 0.7209, True
Tests/Unit/pos/PairMeasure.hs, 0.6997, True
Tests/Unit/pos/pair00.hs, 1.2255, True
Tests/Unit/pos/pair0.hs, 1.3778, True
Tests/Unit/pos/pair.hs, 1.5049, True
Tests/Unit/pos/Overwrite.hs, 0.6909, True
Tests/Unit/pos/OrdList.hs, 14.5972, True
Tests/Unit/pos/nullterm.hs, 1.0130, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.6805, True
Tests/Unit/pos/NoCaseExpand.hs, 0.9499, True
Tests/Unit/pos/niki1.hs, 0.7549, True
Tests/Unit/pos/niki.hs, 0.7198, True
Tests/Unit/pos/nats.hs, 1.0685, True
Tests/Unit/pos/MutualRec.hs, 1.8688, True
Tests/Unit/pos/mutrec.hs, 0.6621, True
Tests/Unit/pos/multi-pred-app-00.hs, 0.6596, True
Tests/Unit/pos/Moo.hs, 0.7082, True
Tests/Unit/pos/monad7.hs, 0.9649, True
Tests/Unit/pos/monad6.hs, 0.7585, True
Tests/Unit/pos/monad5.hs, 0.9354, True
Tests/Unit/pos/monad2.hs, 0.6810, True
Tests/Unit/pos/monad1.hs, 0.6992, True
Tests/Unit/pos/modTest.hs, 0.7131, True
Tests/Unit/pos/Mod2.hs, 0.6823, True
Tests/Unit/pos/Mod1.hs, 0.6638, True
Tests/Unit/pos/MergeSort.hs, 2.0636, True
Tests/Unit/pos/Merge1.hs, 0.7765, True
Tests/Unit/pos/MeasureSets.hs, 0.6793, True
Tests/Unit/pos/Measures1.hs, 0.6469, True
Tests/Unit/pos/Measures.hs, 0.6573, True
Tests/Unit/pos/MeasureDups.hs, 0.7278, True
Tests/Unit/pos/MeasureContains.hs, 0.7947, True
Tests/Unit/pos/meas9.hs, 0.7676, True
Tests/Unit/pos/meas8.hs, 0.7034, True
Tests/Unit/pos/meas7.hs, 0.6760, True
Tests/Unit/pos/meas6.hs, 0.8287, True
Tests/Unit/pos/meas5.hs, 1.2034, True
Tests/Unit/pos/meas4.hs, 0.8043, True
Tests/Unit/pos/meas3.hs, 0.7967, True
Tests/Unit/pos/meas2.hs, 0.7257, True
Tests/Unit/pos/meas11.hs, 0.7012, True
Tests/Unit/pos/meas10.hs, 0.7789, True
Tests/Unit/pos/meas1.hs, 0.7309, True
Tests/Unit/pos/meas0a.hs, 0.7434, True
Tests/Unit/pos/meas00a.hs, 0.6549, True
Tests/Unit/pos/meas00.hs, 0.7198, True
Tests/Unit/pos/meas0.hs, 0.7373, True
Tests/Unit/pos/maybe4.hs, 0.6785, True
Tests/Unit/pos/maybe3.hs, 0.6847, True
Tests/Unit/pos/maybe2.hs, 1.0739, True
Tests/Unit/pos/maybe1.hs, 0.7918, True
Tests/Unit/pos/maybe000.hs, 0.6795, True
Tests/Unit/pos/maybe00.hs, 0.6347, True
Tests/Unit/pos/maybe0.hs, 0.6830, True
Tests/Unit/pos/maybe.hs, 1.0492, True
Tests/Unit/pos/mapTvCrash.hs, 0.6727, True
Tests/Unit/pos/maps1.hs, 0.7633, True
Tests/Unit/pos/maps.hs, 0.7680, True
Tests/Unit/pos/mapreduce.hs, 1.8024, True
Tests/Unit/pos/mapreduce-bare.hs, 3.2996, True
Tests/Unit/pos/Map2.hs, 15.3667, True
Tests/Unit/pos/Map0.hs, 14.8921, True
Tests/Unit/pos/Map.hs, 14.4885, True
Tests/Unit/pos/malformed0.hs, 0.9981, True
Tests/Unit/pos/Loo.hs, 0.6791, True
Tests/Unit/pos/LocalTermExpr.hs, 0.7365, True
Tests/Unit/pos/LocalSpecImp.hs, 0.6595, True
Tests/Unit/pos/LocalSpec0.hs, 0.6585, True
Tests/Unit/pos/LocalSpec.hs, 0.6765, True
Tests/Unit/pos/LocalLazy.hs, 0.6819, True
Tests/Unit/pos/LocalHole.hs, 0.7022, True
Tests/Unit/pos/lit.hs, 0.6474, True
Tests/Unit/pos/ListSort.hs, 2.7313, True
Tests/Unit/pos/listSetDemo.hs, 0.8022, True
Tests/Unit/pos/listSet.hs, 0.8084, True
Tests/Unit/pos/ListReverse-LType.hs, 0.7020, True
Tests/Unit/pos/ListRange.hs, 0.7984, True
Tests/Unit/pos/ListRange-LType.hs, 0.7980, True
