 (HEAD) : 7b9a559121b2c85fd1eafbd256c0ce02a839acf1
Timestamp: 2016-06-09 16:22:29 -0700
Epoch Timestamp: 1465514549
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.6601, True
Tests/Unit/pos/zipW1.hs, 0.6927, True
Tests/Unit/pos/zipW.hs, 0.7318, True
Tests/Unit/pos/zipSO.hs, 0.7239, True
Tests/Unit/pos/zipper000.hs, 0.7509, True
Tests/Unit/pos/zipper0.hs, 0.8386, True
Tests/Unit/pos/zipper.hs, 1.4137, True
Tests/Unit/pos/wrap1.hs, 0.9154, True
Tests/Unit/pos/wrap0.hs, 0.7351, True
Tests/Unit/pos/Words1.hs, 0.6688, True
Tests/Unit/pos/Words.hs, 0.6469, True
Tests/Unit/pos/WBL0.hs, 1.4976, True
Tests/Unit/pos/WBL.hs, 1.4857, True
Tests/Unit/pos/vector2.hs, 1.3277, True
Tests/Unit/pos/vector1b.hs, 1.0700, True
Tests/Unit/pos/vector1a.hs, 1.0734, True
Tests/Unit/pos/vector1.hs, 1.0635, True
Tests/Unit/pos/vector00.hs, 0.7871, True
Tests/Unit/pos/vector0.hs, 0.8569, True
Tests/Unit/pos/vecloop.hs, 0.8456, True
Tests/Unit/pos/Variance.hs, 0.6633, True
Tests/Unit/pos/unusedtyvars.hs, 0.6649, True
Tests/Unit/pos/tyvar.hs, 0.6573, True
Tests/Unit/pos/TypeAlias.hs, 0.6543, True
Tests/Unit/pos/tyfam0.hs, 0.7096, True
Tests/Unit/pos/tyExpr.hs, 0.6551, True
Tests/Unit/pos/tyclass0.hs, 0.6670, True
Tests/Unit/pos/tupparse.hs, 0.6999, True
Tests/Unit/pos/tup0.hs, 0.6531, True
Tests/Unit/pos/transTAG.hs, 1.5585, True
Tests/Unit/pos/transpose.hs, 1.0451, True
Tests/Unit/pos/trans.hs, 0.8083, True
Tests/Unit/pos/ToyMVar.hs, 0.8997, True
Tests/Unit/pos/TopLevel.hs, 0.7045, True
Tests/Unit/pos/top0.hs, 0.7709, True
Tests/Unit/pos/TokenType.hs, 0.6579, True
Tests/Unit/pos/testRec.hs, 0.6923, True
Tests/Unit/pos/Test761.hs, 0.6851, True
Tests/Unit/pos/test2.hs, 0.7114, True
Tests/Unit/pos/test1.hs, 0.7243, True
Tests/Unit/pos/test00c.hs, 0.7851, True
Tests/Unit/pos/test00b.hs, 0.7339, True
Tests/Unit/pos/test000.hs, 0.7323, True
Tests/Unit/pos/test00.old.hs, 0.7214, True
Tests/Unit/pos/test00.hs, 0.7405, True
Tests/Unit/pos/test00-int.hs, 0.7101, True
Tests/Unit/pos/test0.hs, 0.7355, True
Tests/Unit/pos/TerminationNum0.hs, 0.7221, True
Tests/Unit/pos/TerminationNum.hs, 0.6917, True
Tests/Unit/pos/Termination.lhs, 0.7775, True
Tests/Unit/pos/term0.hs, 0.7520, True
Tests/Unit/pos/Term.hs, 0.7239, True
Tests/Unit/pos/TemplateHaskell.hs, 0.7293, True
Tests/Unit/pos/take.hs, 0.8653, True
Tests/Unit/pos/tagBinder.hs, 0.6537, True
Tests/Unit/pos/T598.hs, 0.8499, True
Tests/Unit/pos/T595a.hs, 0.6593, True
Tests/Unit/pos/T595.hs, 0.7312, True
Tests/Unit/pos/T531.hs, 0.6644, True
Tests/Unit/pos/Sum.hs, 0.6848, True
Tests/Unit/pos/StructRec.hs, 0.6759, True
Tests/Unit/pos/Strings.hs, 0.7163, True
Tests/Unit/pos/StringLit.hs, 0.6657, True
Tests/Unit/pos/string00.hs, 0.7104, True
Tests/Unit/pos/StrictPair1.hs, 0.9659, True
Tests/Unit/pos/StrictPair0.hs, 0.7140, True
Tests/Unit/pos/StreamInvariants.hs, 0.6720, True
Tests/Unit/pos/stateInvarint.hs, 0.8407, True
Tests/Unit/pos/StateF00.hs, 0.6671, True
Tests/Unit/pos/StateConstraints00.hs, 0.7062, True
Tests/Unit/pos/StateConstraints0.hs, 7.8829, True
Tests/Unit/pos/StateConstraints.hs, 4.4281, True
Tests/Unit/pos/State1.hs, 0.6996, True
Tests/Unit/pos/state00.hs, 0.6780, True
Tests/Unit/pos/State.hs, 0.7419, True
Tests/Unit/pos/stacks0.hs, 0.7687, True
Tests/Unit/pos/StackClass.hs, 0.6976, True
Tests/Unit/pos/spec0.hs, 0.7142, True
Tests/Unit/pos/Solver.hs, 1.1779, True
Tests/Unit/pos/SimplerNotation.hs, 0.6857, True
Tests/Unit/pos/selfList.hs, 0.7517, True
