"test"," time-1464925730"," time-1465445492"," time-1465507416","range"
"Tests/Benchmarks/esop/Base.hs"," 89.0208"," 76.4684"," 66.7964","22"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 23.0520"," 10.4017"," 9.8873","13"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 20.2073"," 9.2230"," 8.8765","11"
"Tests/Unit/eq_pos/AppendArrow.hs"," 59.8227"," 50.7777"," 49.3159","10"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 41.8455"," 32.8716"," 32.1876","9"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 52.4353"," 50.2344"," 42.9639","9"
"Tests/Unit/pos/RBTree.hs"," 10.7347"," 1.3949"," 8.8895","9"
"Tests/Benchmarks/haskell16_neg/BasicLambdas.hs"," 8.8260"," 6.6616"," 0.7218","8"
"Tests/Benchmarks/haskell16_neg/MonadMaybe.hs"," 9.3200"," 6.2635"," 0.9889","8"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 36.5879"," 29.0734"," 28.2111","8"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 22.6725"," 15.2510"," 14.4279","8"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 37.8226"," 30.9929"," 29.8790","7"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 41.6703"," 37.2315"," 35.1589","6"
"Tests/Benchmarks/haskell16_pos/Ackermann.hs"," 13.8410"," 7.4648"," 7.0400","6"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 9.7280"," 3.3124"," 2.9190","6"
"Tests/Benchmarks/text/Data/Text.hs"," 34.9188"," 35.3815"," 28.8301","6"
"Tests/Benchmarks/haskell16_neg/ApplicativeList.hs"," 15.4124"," 12.2125"," 10.2683","5"
"Tests/Benchmarks/haskell16_neg/MonadList.hs"," 8.4163"," 8.6927"," 2.8366","5"
"Tests/Benchmarks/icfp_pos/FindRec.hs"," 14.2647"," 9.3463"," 8.8970","5"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 6.3536"," 2.4518"," 2.2681","4"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 46.0169"," 47.8452"," 43.3323","4"
"Tests/Unit/neg/StateConstraints0.hs"," 19.6817"," 16.9574"," 15.5941","4"
"Tests/Benchmarks/haskell16_pos/ApplicativeList.hs"," 11.5762"," 9.1524"," 7.7256","3"
"Tests/Benchmarks/icfp_pos/CopyRec.hs"," 20.7358"," 17.9995"," 16.8193","3"
"Tests/Unit/eq_pos/ConcatMap.hs"," 19.1722"," 16.4230"," 15.8307","3"
"Tests/Unit/pos/Foldl.hs"," 9.8908"," 7.1931"," 6.1080","3"
"Tests/Unit/pos/LambdaEval.hs"," 9.6856"," 5.8126"," 6.1731","3"
"Tests/Unit/pos/Map2.hs"," 10.8521"," 13.0924"," 9.6106","3"
"Tests/Unit/pos/filterAbs.hs"," 4.1265"," 0.9126"," 0.8631","3"
