 (HEAD -> develop, origin/develop) : 044c2a05f62bd916a40de4086a4920e5da45923f
Timestamp: 2016-06-02 20:48:50 -0700
Epoch Timestamp: 1464925730
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7652, True
Tests/Unit/pos/zipW1.hs, 1.0295, True
Tests/Unit/pos/zipW.hs, 0.8639, True
Tests/Unit/pos/zipSO.hs, 0.8631, True
Tests/Unit/pos/zipper000.hs, 0.8712, True
Tests/Unit/pos/zipper0.hs, 1.0677, True
Tests/Unit/pos/zipper.hs, 1.8034, True
Tests/Unit/pos/wrap1.hs, 1.1121, True
Tests/Unit/pos/wrap0.hs, 0.8808, True
Tests/Unit/pos/Words1.hs, 0.7810, True
Tests/Unit/pos/Words.hs, 0.8205, True
Tests/Unit/pos/WBL0.hs, 1.7466, True
Tests/Unit/pos/WBL.hs, 1.7008, True
Tests/Unit/pos/vector2.hs, 1.8758, True
Tests/Unit/pos/vector1b.hs, 1.5512, True
Tests/Unit/pos/vector1a.hs, 1.4155, True
Tests/Unit/pos/vector1.hs, 1.4334, True
Tests/Unit/pos/vector00.hs, 0.9015, True
Tests/Unit/pos/vector0.hs, 1.2587, True
Tests/Unit/pos/vecloop.hs, 1.0539, True
Tests/Unit/pos/Variance.hs, 0.7558, True
Tests/Unit/pos/unusedtyvars.hs, 0.8645, True
Tests/Unit/pos/tyvar.hs, 0.8906, True
Tests/Unit/pos/TypeAlias.hs, 0.7677, True
Tests/Unit/pos/tyfam0.hs, 0.9730, True
Tests/Unit/pos/tyExpr.hs, 0.7232, True
Tests/Unit/pos/tyclass0.hs, 0.7718, True
Tests/Unit/pos/tupparse.hs, 0.8313, True
Tests/Unit/pos/tup0.hs, 0.9115, True
Tests/Unit/pos/transTAG.hs, 2.8791, True
Tests/Unit/pos/transpose.hs, 1.5491, True
Tests/Unit/pos/trans.hs, 1.0424, True
Tests/Unit/pos/ToyMVar.hs, 1.1105, True
Tests/Unit/pos/TopLevel.hs, 1.0080, True
Tests/Unit/pos/top0.hs, 1.3456, True
Tests/Unit/pos/TokenType.hs, 0.9038, True
Tests/Unit/pos/timebind01.hs, 0.9797, True
Tests/Unit/pos/timebind00.hs, 1.0141, True
Tests/Unit/pos/testRec.hs, 0.8175, True
Tests/Unit/pos/Test761.hs, 0.8472, True
Tests/Unit/pos/test2.hs, 0.8393, True
Tests/Unit/pos/test1.hs, 0.8445, True
Tests/Unit/pos/test00c.hs, 0.9788, True
Tests/Unit/pos/test00b.hs, 0.8045, True
Tests/Unit/pos/test000.hs, 0.8405, True
Tests/Unit/pos/test00.old.hs, 0.8029, True
Tests/Unit/pos/test00.hs, 0.8841, True
Tests/Unit/pos/test00-int.hs, 0.7877, True
Tests/Unit/pos/test0.hs, 0.9147, True
Tests/Unit/pos/TerminationNum0.hs, 0.9033, True
Tests/Unit/pos/TerminationNum.hs, 0.7757, True
Tests/Unit/pos/Termination.lhs, 1.2859, True
Tests/Unit/pos/term0.hs, 0.8857, True
Tests/Unit/pos/Term.hs, 0.7747, True
Tests/Unit/pos/take.hs, 1.1771, True
Tests/Unit/pos/tagBinder.hs, 0.7260, True
Tests/Unit/pos/T598.hs, 0.9985, True
Tests/Unit/pos/T595a.hs, 0.7650, True
Tests/Unit/pos/T595.hs, 0.8486, True
Tests/Unit/pos/T531.hs, 0.7323, True
Tests/Unit/pos/Sum.hs, 0.8215, True
Tests/Unit/pos/StructRec.hs, 0.8302, True
Tests/Unit/pos/Strings.hs, 0.8908, True
Tests/Unit/pos/StringLit.hs, 0.8042, True
Tests/Unit/pos/string00.hs, 0.8382, True
Tests/Unit/pos/StrictPair1.hs, 1.0621, True
Tests/Unit/pos/StrictPair0.hs, 0.7883, True
Tests/Unit/pos/StreamInvariants.hs, 0.7508, True
Tests/Unit/pos/stateInvarint.hs, 0.9060, True
Tests/Unit/pos/StateF00.hs, 0.8033, True
Tests/Unit/pos/StateConstraints00.hs, 0.7544, True
Tests/Unit/pos/StateConstraints0.hs, 10.0282, True
Tests/Unit/pos/StateConstraints.hs, 5.4286, True
Tests/Unit/pos/State1.hs, 0.9972, True
Tests/Unit/pos/state00.hs, 0.7520, True
Tests/Unit/pos/State.hs, 0.8386, True
Tests/Unit/pos/stacks0.hs, 0.8529, True
Tests/Unit/pos/StackClass.hs, 0.7681, True
Tests/Unit/pos/spec0.hs, 0.9409, True
Tests/Unit/pos/Solver.hs, 1.7493, True
Tests/Unit/pos/SimplerNotation.hs, 0.8700, True
Tests/Unit/pos/selfList.hs, 0.8968, True
