 (HEAD -> develop, origin/develop) : 0c185105dcd5e1afc5c7cebc814f19411b0fe6df
Timestamp: 2016-06-09 14:23:36 -0700
Epoch Timestamp: 1465507416
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.8016, True
Tests/Unit/pos/zipW1.hs, 0.7080, True
Tests/Unit/pos/zipW.hs, 0.7338, True
Tests/Unit/pos/zipSO.hs, 0.7218, True
Tests/Unit/pos/zipper000.hs, 0.7572, True
Tests/Unit/pos/zipper0.hs, 0.8982, True
Tests/Unit/pos/zipper.hs, 1.4464, True
Tests/Unit/pos/wrap1.hs, 0.9309, True
Tests/Unit/pos/wrap0.hs, 0.7614, True
Tests/Unit/pos/Words1.hs, 0.6756, True
Tests/Unit/pos/Words.hs, 0.6609, True
Tests/Unit/pos/WBL0.hs, 1.4930, True
Tests/Unit/pos/WBL.hs, 1.5632, True
Tests/Unit/pos/vector2.hs, 1.4117, True
Tests/Unit/pos/vector1b.hs, 1.1594, True
Tests/Unit/pos/vector1a.hs, 1.1347, True
Tests/Unit/pos/vector1.hs, 1.1112, True
Tests/Unit/pos/vector00.hs, 0.7696, True
Tests/Unit/pos/vector0.hs, 0.8664, True
Tests/Unit/pos/vecloop.hs, 0.8724, True
Tests/Unit/pos/Variance.hs, 0.6734, True
Tests/Unit/pos/unusedtyvars.hs, 0.6872, True
Tests/Unit/pos/tyvar.hs, 0.6714, True
Tests/Unit/pos/TypeAlias.hs, 0.6611, True
Tests/Unit/pos/tyfam0.hs, 0.7133, True
Tests/Unit/pos/tyExpr.hs, 0.6547, True
Tests/Unit/pos/tyclass0.hs, 0.6490, True
Tests/Unit/pos/tupparse.hs, 0.7245, True
Tests/Unit/pos/tup0.hs, 0.6722, True
Tests/Unit/pos/transTAG.hs, 1.6489, True
Tests/Unit/pos/transpose.hs, 1.0689, True
Tests/Unit/pos/trans.hs, 0.8136, True
Tests/Unit/pos/ToyMVar.hs, 0.9325, True
Tests/Unit/pos/TopLevel.hs, 0.7103, True
Tests/Unit/pos/top0.hs, 0.7570, True
Tests/Unit/pos/TokenType.hs, 0.7703, True
Tests/Unit/pos/timebind01.hs, 0.6771, True
Tests/Unit/pos/timebind00.hs, 0.6742, True
Tests/Unit/pos/testRec.hs, 0.7122, True
Tests/Unit/pos/Test761.hs, 0.7174, True
Tests/Unit/pos/test2.hs, 0.7250, True
Tests/Unit/pos/test1.hs, 0.7256, True
Tests/Unit/pos/test00c.hs, 0.7723, True
Tests/Unit/pos/test00b.hs, 0.7180, True
Tests/Unit/pos/test000.hs, 0.7255, True
Tests/Unit/pos/test00.old.hs, 0.7138, True
Tests/Unit/pos/test00.hs, 0.7101, True
Tests/Unit/pos/test00-int.hs, 0.7225, True
Tests/Unit/pos/test0.hs, 0.7265, True
Tests/Unit/pos/TerminationNum0.hs, 0.7328, True
Tests/Unit/pos/TerminationNum.hs, 0.6976, True
Tests/Unit/pos/Termination.lhs, 1.2652, True
Tests/Unit/pos/term0.hs, 0.7913, True
Tests/Unit/pos/Term.hs, 0.7361, True
