 (HEAD -> fast-elim) : e600684c10216470f1de6c13202fadc496e027e9
Timestamp: 2016-06-08 21:11:32 -0700
Epoch Timestamp: 1465445492
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.8344, True
Tests/Unit/pos/zipW1.hs, 0.7646, True
Tests/Unit/pos/zipW.hs, 0.7919, True
Tests/Unit/pos/zipSO.hs, 0.8035, True
Tests/Unit/pos/zipper000.hs, 0.8711, True
Tests/Unit/pos/zipper0.hs, 1.0165, True
Tests/Unit/pos/zipper.hs, 2.2025, True
Tests/Unit/pos/wrap1.hs, 1.5945, True
Tests/Unit/pos/wrap0.hs, 1.1009, True
Tests/Unit/pos/Words1.hs, 0.7254, True
Tests/Unit/pos/Words.hs, 0.7505, True
Tests/Unit/pos/WBL0.hs, 1.6295, True
Tests/Unit/pos/WBL.hs, 1.7228, True
Tests/Unit/pos/vector2.hs, 1.5263, True
Tests/Unit/pos/vector1b.hs, 1.1717, True
Tests/Unit/pos/vector1a.hs, 1.2251, True
Tests/Unit/pos/vector1.hs, 1.1494, True
Tests/Unit/pos/vector00.hs, 0.7974, True
Tests/Unit/pos/vector0.hs, 0.9188, True
Tests/Unit/pos/vecloop.hs, 0.9144, True
Tests/Unit/pos/Variance.hs, 0.7296, True
Tests/Unit/pos/unusedtyvars.hs, 0.7029, True
Tests/Unit/pos/tyvar.hs, 0.7154, True
Tests/Unit/pos/TypeAlias.hs, 0.6813, True
Tests/Unit/pos/tyfam0.hs, 0.7849, True
Tests/Unit/pos/tyExpr.hs, 0.7067, True
Tests/Unit/pos/tyclass0.hs, 0.6979, True
Tests/Unit/pos/tupparse.hs, 0.8210, True
Tests/Unit/pos/tup0.hs, 0.7608, True
Tests/Unit/pos/transTAG.hs, 1.7774, True
Tests/Unit/pos/transpose.hs, 1.1838, True
Tests/Unit/pos/trans.hs, 0.8981, True
Tests/Unit/pos/ToyMVar.hs, 0.9692, True
Tests/Unit/pos/TopLevel.hs, 0.7595, True
Tests/Unit/pos/top0.hs, 0.8220, True
Tests/Unit/pos/TokenType.hs, 0.7215, True
Tests/Unit/pos/timebind01.hs, 0.6972, True
Tests/Unit/pos/timebind00.hs, 0.6728, True
Tests/Unit/pos/testRec.hs, 0.7301, True
Tests/Unit/pos/Test761.hs, 0.7611, True
Tests/Unit/pos/test2.hs, 0.7462, True
Tests/Unit/pos/test1.hs, 0.7535, True
Tests/Unit/pos/test00c.hs, 0.7846, True
Tests/Unit/pos/test00b.hs, 0.7759, True
Tests/Unit/pos/test000.hs, 0.7860, True
Tests/Unit/pos/test00.old.hs, 0.7534, True
Tests/Unit/pos/test00.hs, 0.7628, True
Tests/Unit/pos/test00-int.hs, 0.8547, True
Tests/Unit/pos/test0.hs, 0.7772, True
Tests/Unit/pos/TerminationNum0.hs, 0.7692, True
Tests/Unit/pos/TerminationNum.hs, 0.7422, True
Tests/Unit/pos/Termination.lhs, 1.3022, True
Tests/Unit/pos/term0.hs, 0.7898, True
Tests/Unit/pos/Term.hs, 0.7265, True
Tests/Unit/pos/take.hs, 0.9848, True
Tests/Unit/pos/tagBinder.hs, 0.7499, True
Tests/Unit/pos/T598.hs, 0.8959, True
Tests/Unit/pos/T595a.hs, 0.8052, True
Tests/Unit/pos/T595.hs, 0.7845, True
Tests/Unit/pos/T531.hs, 0.6814, True
Tests/Unit/pos/Sum.hs, 0.7618, True
Tests/Unit/pos/StructRec.hs, 0.7475, True
Tests/Unit/pos/Strings.hs, 0.7707, True
Tests/Unit/pos/StringLit.hs, 0.7077, True
Tests/Unit/pos/string00.hs, 0.8409, True
Tests/Unit/pos/StrictPair1.hs, 1.0622, True
Tests/Unit/pos/StrictPair0.hs, 0.7373, True
Tests/Unit/pos/StreamInvariants.hs, 0.7659, True
Tests/Unit/pos/stateInvarint.hs, 0.8838, True
Tests/Unit/pos/StateF00.hs, 0.7213, True
Tests/Unit/pos/StateConstraints00.hs, 0.7184, True
Tests/Unit/pos/StateConstraints0.hs, 8.7911, True
Tests/Unit/pos/StateConstraints.hs, 4.9477, True
Tests/Unit/pos/State1.hs, 0.7051, True
Tests/Unit/pos/state00.hs, 0.7169, True
Tests/Unit/pos/State.hs, 0.8921, True
Tests/Unit/pos/stacks0.hs, 0.7994, True
Tests/Unit/pos/StackClass.hs, 0.7063, True
Tests/Unit/pos/spec0.hs, 0.7507, True
Tests/Unit/pos/Solver.hs, 1.3238, True
Tests/Unit/pos/SimplerNotation.hs, 0.6870, True
Tests/Unit/pos/selfList.hs, 0.7847, True
Tests/Unit/pos/scanr.hs, 0.8276, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7159, True
Tests/Unit/pos/risers.hs, 0.8405, True
Tests/Unit/pos/ResolvePred.hs, 0.8318, True
Tests/Unit/pos/ResolveB.hs, 0.9156, True
Tests/Unit/pos/ResolveA.hs, 0.7279, True
Tests/Unit/pos/Resolve.hs, 0.7329, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.5990, True
Tests/Unit/pos/Repeat.hs, 0.8064, True
Tests/Unit/pos/RelativeComplete.hs, 0.9626, True
Tests/Unit/pos/recursion0.hs, 1.0607, True
Tests/Unit/pos/RecSelector.hs, 0.7315, True
Tests/Unit/pos/RecQSort0.hs, 0.9482, True
Tests/Unit/pos/RecQSort.hs, 0.9630, True
Tests/Unit/pos/RecordSelectorError.hs, 0.9138, True
Tests/Unit/pos/record1.hs, 0.8086, True
Tests/Unit/pos/record0.hs, 0.8429, True
Tests/Unit/pos/rec_annot_go.hs, 0.9943, True
Tests/Unit/pos/RealProps1.hs, 0.9436, True
Tests/Unit/pos/RealProps.hs, 0.8257, True
Tests/Unit/pos/RBTree.hs, 1.3949, True
Tests/Unit/pos/RBTree-ord.hs, 6.9559, True
Tests/Unit/pos/RBTree-height.hs, 3.1309, True
Tests/Unit/pos/RBTree-color.hs, 3.5191, True
Tests/Unit/pos/RBTree-col-height.hs, 4.3374, True
Tests/Unit/pos/rangeAdt.hs, 2.1085, True
Tests/Unit/pos/range1.hs, 0.8522, True
Tests/Unit/pos/range.hs, 1.0951, True
Tests/Unit/pos/qualTest.hs, 0.7955, True
Tests/Unit/pos/QQTySyn.hs, 3.2200, True
Tests/Unit/pos/QQTySigTyVars.hs, 3.0682, True
Tests/Unit/pos/QQTySig.hs, 3.2501, True
Tests/Unit/pos/propmeasure1.hs, 0.7479, True
Tests/Unit/pos/propmeasure.hs, 0.8949, True
Tests/Unit/pos/Propability.hs, 0.8004, True
Tests/Unit/pos/profcrasher.hs, 0.8136, True
Tests/Unit/pos/Product.hs, 1.0482, True
Tests/Unit/pos/primInt0.hs, 0.9146, True
Tests/Unit/pos/pred.hs, 0.7876, True
Tests/Unit/pos/pragma0.hs, 0.8036, True
Tests/Unit/pos/poslist_dc.hs, 0.9712, True
Tests/Unit/pos/poslist.hs, 1.0677, True
Tests/Unit/pos/polyqual.hs, 1.2018, True
Tests/Unit/pos/polyfun.hs, 0.9600, True
Tests/Unit/pos/poly4.hs, 0.8001, True
Tests/Unit/pos/poly3a.hs, 0.9088, True
Tests/Unit/pos/poly3.hs, 0.8557, True
Tests/Unit/pos/poly2.hs, 0.7926, True
Tests/Unit/pos/poly2-degenerate.hs, 0.7753, True
Tests/Unit/pos/poly1.hs, 0.7702, True
Tests/Unit/pos/poly0.hs, 0.7991, True
Tests/Unit/pos/PointDist.hs, 0.7602, True
Tests/Unit/pos/PlugHoles.hs, 0.7032, True
Tests/Unit/pos/PersistentVector.hs, 0.8312, True
Tests/Unit/pos/Permutation.hs, 1.7323, True
Tests/Unit/pos/partialmeasure.hs, 0.7531, True
Tests/Unit/pos/partial-tycon.hs, 0.7245, True
Tests/Unit/pos/pargs1.hs, 0.8283, True
Tests/Unit/pos/pargs.hs, 0.7903, True
Tests/Unit/pos/PairMeasure0.hs, 0.8967, True
Tests/Unit/pos/PairMeasure.hs, 1.1813, True
Tests/Unit/pos/pair00.hs, 1.2278, True
