"test"," time-1462580525"," time-1463175222","range"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Classify.hs"," 182.7523"," 201.4628","18"
"Tests/Benchmarks/esop/Base.hs"," 120.6181"," 133.3911","12"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Anchors.hs"," 45.4617"," 56.6807","11"
"Tests/Benchmarks/bytestring/Data/ByteString/LazyZip.hs"," 95.9668"," 106.6598","10"
"Tests/Benchmarks/text/Data/Text.hs"," 68.9904"," 78.8323","9"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy.hs"," 77.7830"," 83.8147","6"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 77.9932"," 84.4276","6"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 94.5214"," 99.3453","4"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 50.2732"," 53.4369","3"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 79.9221"," 83.5714","3"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 26.8470"," 30.4117","3"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 45.2544"," 43.8906","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 19.2232"," 20.3200","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 15.2251"," 16.3425","1"
"Tests/Benchmarks/esop/Array.hs"," 4.5661"," 5.6528","1"
"Tests/Benchmarks/esop/Splay.hs"," 11.5167"," 12.9665","1"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/LaTeX.hs"," 19.0297"," 20.4751","1"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 31.7745"," 33.5061","1"
"Tests/Benchmarks/icfp_pos/RIO2.hs"," 14.6012"," 16.0765","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/AmericanFlag.hs"," 4.9445"," 6.2854","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Merge.hs"," 4.8165"," 6.2357","1"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Search.hs"," 4.3748"," 5.4597","1"
"Tests/Unit/pos/GhcSort2.hs"," 2.9714"," 1.7322","1"
"Tests/Unit/pos/LambdaEval.hs"," 24.2819"," 22.9920","1"
"Tests/Benchmarks/bytestring/Data/ByteString/Char8.hs"," 7.7081"," 7.8844","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Internal.hs"," 5.1267"," 5.4251","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Char8.hs"," 8.9567"," 9.4135","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Lazy/Internal.hs"," 1.5104"," 1.5160","0"
"Tests/Benchmarks/bytestring/Data/ByteString/Unsafe.hs"," 2.4628"," 2.1725","0"
"Tests/Benchmarks/esop/Fib.hs"," 1.8856"," 1.9210","0"
"Tests/Benchmarks/esop/GhcListSort.hs"," 5.8081"," 6.3996","0"
"Tests/Benchmarks/esop/ListSort.hs"," 3.0115"," 3.2645","0"
"Tests/Benchmarks/esop/Toy.hs"," 1.3708"," 1.4097","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 5.2269"," 5.4899","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ACSS.hs"," 9.6555"," 9.8183","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 1.7264"," 1.7359","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/CSS.hs"," 1.5377"," 1.6909","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 2.5077"," 2.6411","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 2.7581"," 3.1406","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 0.7459"," 0.7785","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/HTML.hs"," 4.3644"," 5.0603","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/InlineCSS.hs"," 1.6110"," 1.6541","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.4293"," 2.4523","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.7858"," 0.7994","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 0.8852"," 0.9022","0"
