"test"," time-1467396232"," time-1467998691"," time-1467998795"," time-1467998817"," time-1468278983"," time-1468279223"," time-1468334401"," time-1468342282"," time-1468342282"," time-1468343052","range"
"Tests/Benchmarks/text/Data/Text/Fusion.hs"," 42.9546"," 51.1602"," 36.4006"," 39.2890"," 37.9445"," 36.8970"," 21.2603"," 22.5100"," 22.2867"," 25.5428","29"
"Tests/Benchmarks/text/Data/Text/Lazy/Search.hs"," 40.6233"," 26.4650"," 26.0849"," 29.0075"," 32.8606"," 34.8311"," 49.9380"," 51.1766"," 42.0842"," 48.9649","25"
"Tests/Benchmarks/text/Data/Text/Lazy.hs"," 42.1459"," 56.7384"," 36.2086"," 34.9448"," 37.9794"," 34.7548"," 51.1845"," 53.8448"," 50.0148"," 59.0538","24"
"Tests/Unit/eq_pos/AppendArrow.hs"," 81.5128"," 72.6672"," 70.2812"," 80.8574"," 82.8477"," 79.5124"," 67.4149"," 75.1768"," 79.7753"," 90.4821","23"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.T.hs"," 38.3282"," 47.9580"," 35.7586"," 33.9362"," 34.8380"," 37.1498"," 25.3576"," 29.1156"," 43.1263"," 30.7165","22"
"Tests/Benchmarks/esop/Base.hs"," 65.5991"," 87.3123"," 72.5300"," 83.8339"," 77.3349"," 75.9066"," 67.5451"," 72.3373"," 67.9940"," 82.4808","21"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Heap.hs"," 32.8741"," 34.5188"," 35.7608"," 40.5054"," 27.0940"," 31.6099"," 30.2990"," 21.9498"," 20.4471"," 25.9984","20"
"Tests/Benchmarks/icfp_neg/TwiceM.hs"," 58.6492"," 44.5234"," 43.0449"," 43.0179"," 38.7222"," 47.9409"," 42.1409"," 43.3225"," 44.2263"," 42.1658","19"
"Tests/Benchmarks/text/Data/Text/Encoding.hs"," 40.5620"," 37.6467"," 30.3070"," 38.5818"," 31.7762"," 34.7174"," 46.2524"," 45.4932"," 39.6784"," 47.6849","17"
"Tests/Benchmarks/text/Data/Text.hs"," 34.2919"," 34.6463"," 27.4403"," 34.6084"," 27.9137"," 27.3883"," 42.8036"," 41.8107"," 43.5968"," 44.0886","16"
"Tests/Benchmarks/bytestring/Data/ByteString.T.hs"," 49.2175"," 36.3978"," 42.6420"," 43.6253"," 47.9223"," 48.1502"," 41.7932"," 38.3752"," 34.9462"," 44.2249","14"
"Tests/Benchmarks/bytestring/Data/ByteString.hs"," 40.8489"," 29.8211"," 26.0749"," 26.4066"," 38.3680"," 39.7118"," 29.9523"," 28.5183"," 29.3513"," 36.3912","14"
"Tests/Benchmarks/bytestring/Data/ByteString/Fusion.hs"," 34.3957"," 37.7398"," 32.7868"," 32.6804"," 34.0795"," 36.5178"," 23.2930"," 23.8548"," 26.5887"," 28.3472","14"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 14.8101"," 17.4184"," 15.2609"," 19.8678"," 14.2830"," 14.8697"," 6.8176"," 7.6262"," 6.3394"," 7.2583","13"
