 (HEAD) : c76729d8dd3abda82d9f9871b8060d1233a1db1f
Timestamp: 2016-07-01 11:03:52 -0700
Epoch Timestamp: 1467396232
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7899, True
Tests/Unit/pos/zipW1.hs, 0.8004, True
Tests/Unit/pos/zipW.hs, 0.8422, True
Tests/Unit/pos/zipSO.hs, 0.7917, True
Tests/Unit/pos/zipper000.hs, 0.7955, True
Tests/Unit/pos/zipper0.hs, 0.9328, True
Tests/Unit/pos/zipper.hs, 1.4955, True
Tests/Unit/pos/wrap1.hs, 1.2521, True
Tests/Unit/pos/wrap0.hs, 0.8757, True
Tests/Unit/pos/Words1.hs, 0.7757, True
Tests/Unit/pos/Words.hs, 0.7154, True
Tests/Unit/pos/WBL0.hs, 1.6171, True
Tests/Unit/pos/WBL.hs, 1.6828, True
Tests/Unit/pos/vector2.hs, 1.3837, True
Tests/Unit/pos/vector1b.hs, 1.1436, True
Tests/Unit/pos/vector1a.hs, 1.1429, True
Tests/Unit/pos/vector1.hs, 1.0678, True
Tests/Unit/pos/vector00.hs, 0.8637, True
Tests/Unit/pos/vector0.hs, 1.1527, True
Tests/Unit/pos/vecloop.hs, 0.9513, True
Tests/Unit/pos/Variance.hs, 0.7664, True
Tests/Unit/pos/unusedtyvars.hs, 0.7344, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8466, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7193, True
Tests/Unit/pos/tyvar.hs, 0.6699, True
Tests/Unit/pos/TypeFamilies.hs, 0.7374, True
Tests/Unit/pos/TypeAlias.hs, 0.6742, True
Tests/Unit/pos/tyfam0.hs, 0.7402, True
Tests/Unit/pos/tyExpr.hs, 0.6702, True
Tests/Unit/pos/tyclass0.hs, 0.6643, True
Tests/Unit/pos/tupparse.hs, 0.7543, True
Tests/Unit/pos/tup0.hs, 0.6777, True
Tests/Unit/pos/transTAG.hs, 1.5411, True
Tests/Unit/pos/transpose.hs, 1.0685, True
Tests/Unit/pos/trans.hs, 0.8132, True
Tests/Unit/pos/ToyMVar.hs, 0.9031, True
Tests/Unit/pos/TopLevel.hs, 0.7303, True
Tests/Unit/pos/top0.hs, 0.7835, True
Tests/Unit/pos/TokenType.hs, 0.6603, True
Tests/Unit/pos/testRec.hs, 0.7201, True
Tests/Unit/pos/Test761.hs, 0.7296, True
Tests/Unit/pos/test2.hs, 0.7365, True
Tests/Unit/pos/test1.hs, 0.7237, True
Tests/Unit/pos/test00c.hs, 0.7779, True
Tests/Unit/pos/test00b.hs, 0.7209, True
Tests/Unit/pos/test000.hs, 0.7387, True
Tests/Unit/pos/test00.old.hs, 0.7374, True
Tests/Unit/pos/test00.hs, 0.7279, True
Tests/Unit/pos/test00-int.hs, 0.7256, True
Tests/Unit/pos/test0.hs, 0.7324, True
Tests/Unit/pos/TerminationNum0.hs, 0.6967, True
Tests/Unit/pos/TerminationNum.hs, 0.6950, True
Tests/Unit/pos/Termination.lhs, 1.2110, True
Tests/Unit/pos/term0.hs, 0.8094, True
Tests/Unit/pos/Term.hs, 0.8750, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0116, True
