 (HEAD) : 00059040d1c132ef808c840b618bda5d58cace2b
Timestamp: 2016-07-12 10:04:12 -0700
Epoch Timestamp: 1468343052
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 1.2006, True
Tests/Unit/pos/zipW1.hs, 1.2563, True
Tests/Unit/pos/zipW.hs, 0.7625, True
Tests/Unit/pos/zipSO.hs, 0.7200, True
Tests/Unit/pos/zipper000.hs, 0.8923, True
Tests/Unit/pos/zipper0.hs, 1.1479, True
Tests/Unit/pos/zipper.hs, 1.5429, True
Tests/Unit/pos/wrap1.hs, 1.1016, True
Tests/Unit/pos/wrap0.hs, 0.8150, True
Tests/Unit/pos/Words1.hs, 0.7204, True
Tests/Unit/pos/Words.hs, 0.7217, True
Tests/Unit/pos/WBL0.hs, 2.3474, True
Tests/Unit/pos/WBL.hs, 1.7678, True
Tests/Unit/pos/vector2.hs, 1.4137, True
Tests/Unit/pos/vector1b.hs, 1.1171, True
Tests/Unit/pos/vector1a.hs, 1.6391, True
Tests/Unit/pos/vector1.hs, 2.0754, True
Tests/Unit/pos/vector00.hs, 1.4454, True
Tests/Unit/pos/vector0.hs, 2.4415, True
Tests/Unit/pos/vecloop.hs, 1.5059, True
Tests/Unit/pos/Variance.hs, 0.7179, True
Tests/Unit/pos/unusedtyvars.hs, 1.1374, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 2.1609, True
Tests/Unit/pos/UnboxedTuples.hs, 1.2915, True
Tests/Unit/pos/tyvar.hs, 0.9597, True
Tests/Unit/pos/TypeFamilies.hs, 1.1714, True
Tests/Unit/pos/TypeAlias.hs, 0.7634, True
Tests/Unit/pos/tyfam0.hs, 1.4005, True
Tests/Unit/pos/tyExpr.hs, 1.3093, True
Tests/Unit/pos/tyclass0.hs, 1.2047, True
Tests/Unit/pos/tupparse.hs, 0.9661, True
Tests/Unit/pos/tup0.hs, 1.0261, True
Tests/Unit/pos/transTAG.hs, 2.4323, True
Tests/Unit/pos/transpose.hs, 1.6363, True
Tests/Unit/pos/trans.hs, 1.5226, True
Tests/Unit/pos/ToyMVar.hs, 1.1179, True
Tests/Unit/pos/TopLevel.hs, 0.9254, True
