 (HEAD) : 9582c137205a0e1093466bf40aed66833105cd15
Timestamp: 2016-07-12 09:51:22 -0700
Epoch Timestamp: 1468342282
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7524, True
Tests/Unit/pos/zipW1.hs, 0.9499, True
Tests/Unit/pos/zipW.hs, 0.9580, True
Tests/Unit/pos/zipSO.hs, 0.8748, True
Tests/Unit/pos/zipper000.hs, 0.8107, True
Tests/Unit/pos/zipper0.hs, 0.9997, True
Tests/Unit/pos/zipper.hs, 1.9464, True
Tests/Unit/pos/wrap1.hs, 1.0047, True
Tests/Unit/pos/wrap0.hs, 0.8247, True
Tests/Unit/pos/Words1.hs, 0.9036, True
Tests/Unit/pos/Words.hs, 0.9477, True
Tests/Unit/pos/WBL0.hs, 2.1853, True
Tests/Unit/pos/WBL.hs, 1.7684, True
Tests/Unit/pos/vector2.hs, 1.4346, True
Tests/Unit/pos/vector1b.hs, 1.1321, True
Tests/Unit/pos/vector1a.hs, 1.1527, True
Tests/Unit/pos/vector1.hs, 1.2289, True
Tests/Unit/pos/vector00.hs, 1.0244, True
Tests/Unit/pos/vector0.hs, 1.1774, True
Tests/Unit/pos/vecloop.hs, 0.9648, True
Tests/Unit/pos/Variance.hs, 0.7585, True
Tests/Unit/pos/unusedtyvars.hs, 0.7315, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8656, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7404, True
Tests/Unit/pos/tyvar.hs, 0.7220, True
Tests/Unit/pos/TypeFamilies.hs, 0.8081, True
Tests/Unit/pos/TypeAlias.hs, 0.7362, True
Tests/Unit/pos/tyfam0.hs, 0.8046, True
Tests/Unit/pos/tyExpr.hs, 0.7285, True
Tests/Unit/pos/tyclass0.hs, 0.7014, True
Tests/Unit/pos/tupparse.hs, 0.8182, True
Tests/Unit/pos/tup0.hs, 0.7470, True
Tests/Unit/pos/transTAG.hs, 2.2116, True
Tests/Unit/pos/transpose.hs, 1.3464, True
Tests/Unit/pos/trans.hs, 0.9214, True
Tests/Unit/pos/ToyMVar.hs, 1.2550, True
Tests/Unit/pos/TopLevel.hs, 0.9116, True
Tests/Unit/pos/top0.hs, 0.9857, True
Tests/Unit/pos/TokenType.hs, 0.8829, True
Tests/Unit/pos/testRec.hs, 1.0656, True
Tests/Unit/pos/Test761.hs, 1.1953, True
Tests/Unit/pos/test2.hs, 1.2231, True
Tests/Unit/pos/test1.hs, 0.9522, True
Tests/Unit/pos/test00c.hs, 1.2278, True
Tests/Unit/pos/test00b.hs, 0.8731, True
Tests/Unit/pos/test000.hs, 0.8756, True
Tests/Unit/pos/test00.old.hs, 0.7876, True
Tests/Unit/pos/test00.hs, 0.8049, True
Tests/Unit/pos/test00-int.hs, 0.7774, True
Tests/Unit/pos/test0.hs, 0.8945, True
Tests/Unit/pos/TerminationNum0.hs, 1.1465, True
Tests/Unit/pos/TerminationNum.hs, 1.3793, True
Tests/Unit/pos/Termination.lhs, 1.8206, True
Tests/Unit/pos/term0.hs, 0.8390, True
Tests/Unit/pos/Term.hs, 0.7690, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0208, True
Tests/Unit/pos/TemplateHaskell.hs, 0.8860, True
Tests/Unit/pos/take.hs, 0.9806, True
Tests/Unit/pos/tagBinder.hs, 0.7378, True
Tests/Unit/pos/T716.hs, 0.8224, True
Tests/Unit/pos/T675.hs, 0.8926, True
