 (HEAD) : c88b1bf5d2324e57777ecf5a2b97102b8e12407b
Timestamp: 2016-07-12 07:40:01 -0700
Epoch Timestamp: 1468334401
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7098, True
Tests/Unit/pos/zipW1.hs, 0.7026, True
Tests/Unit/pos/zipW.hs, 0.7426, True
Tests/Unit/pos/zipSO.hs, 0.7220, True
Tests/Unit/pos/zipper000.hs, 0.7470, True
Tests/Unit/pos/zipper0.hs, 0.8764, True
Tests/Unit/pos/zipper.hs, 1.5965, True
Tests/Unit/pos/wrap1.hs, 1.2816, True
Tests/Unit/pos/wrap0.hs, 0.8017, True
Tests/Unit/pos/Words1.hs, 0.6824, True
Tests/Unit/pos/Words.hs, 0.6597, True
Tests/Unit/pos/WBL0.hs, 1.5988, True
Tests/Unit/pos/WBL.hs, 1.9735, True
Tests/Unit/pos/vector2.hs, 1.4676, True
Tests/Unit/pos/vector1b.hs, 1.0957, True
Tests/Unit/pos/vector1a.hs, 1.0810, True
Tests/Unit/pos/vector1.hs, 0.9987, True
Tests/Unit/pos/vector00.hs, 0.7617, True
Tests/Unit/pos/vector0.hs, 1.0734, True
Tests/Unit/pos/vecloop.hs, 0.8841, True
Tests/Unit/pos/Variance.hs, 0.6680, True
Tests/Unit/pos/unusedtyvars.hs, 0.6635, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.7664, True
Tests/Unit/pos/UnboxedTuples.hs, 0.6578, True
Tests/Unit/pos/tyvar.hs, 0.6533, True
Tests/Unit/pos/TypeFamilies.hs, 0.7267, True
Tests/Unit/pos/TypeAlias.hs, 0.6561, True
Tests/Unit/pos/tyfam0.hs, 0.7198, True
Tests/Unit/pos/tyExpr.hs, 0.6567, True
Tests/Unit/pos/tyclass0.hs, 0.6625, True
Tests/Unit/pos/tupparse.hs, 0.7310, True
Tests/Unit/pos/tup0.hs, 0.6677, True
Tests/Unit/pos/transTAG.hs, 1.6592, True
Tests/Unit/pos/transpose.hs, 1.0775, True
Tests/Unit/pos/trans.hs, 0.8338, True
Tests/Unit/pos/ToyMVar.hs, 0.9046, True
Tests/Unit/pos/TopLevel.hs, 0.7029, True
Tests/Unit/pos/top0.hs, 0.7581, True
Tests/Unit/pos/TokenType.hs, 0.6507, True
Tests/Unit/pos/testRec.hs, 0.7000, True
Tests/Unit/pos/Test761.hs, 0.7166, True
Tests/Unit/pos/test2.hs, 0.7332, True
Tests/Unit/pos/test1.hs, 0.7208, True
Tests/Unit/pos/test00c.hs, 0.7845, True
Tests/Unit/pos/test00b.hs, 0.7286, True
Tests/Unit/pos/test000.hs, 0.7340, True
Tests/Unit/pos/test00.old.hs, 0.7089, True
Tests/Unit/pos/test00.hs, 0.7501, True
Tests/Unit/pos/test00-int.hs, 0.7409, True
Tests/Unit/pos/test0.hs, 0.7487, True
Tests/Unit/pos/TerminationNum0.hs, 0.6884, True
Tests/Unit/pos/TerminationNum.hs, 0.6853, True
Tests/Unit/pos/Termination.lhs, 1.1712, True
Tests/Unit/pos/term0.hs, 0.7666, True
Tests/Unit/pos/Term.hs, 0.7084, True
Tests/Unit/pos/TemplateHaskellImp.hs, 0.9542, True
Tests/Unit/pos/TemplateHaskell.hs, 0.8223, True
Tests/Unit/pos/take.hs, 0.8941, True
Tests/Unit/pos/tagBinder.hs, 0.6634, True
Tests/Unit/pos/T716.hs, 0.7487, True
Tests/Unit/pos/T675.hs, 0.8137, True
Tests/Unit/pos/T598.hs, 0.8389, True
Tests/Unit/pos/T595a.hs, 0.6612, True
Tests/Unit/pos/T595.hs, 0.7298, True
Tests/Unit/pos/T531.hs, 0.6609, True
Tests/Unit/pos/Sum.hs, 0.7167, True
