 (HEAD) : 29f60817622c24b32a67ca767923dec6739e68c1
Timestamp: 2016-07-11 16:20:23 -0700
Epoch Timestamp: 1468279223
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.9214, True
Tests/Unit/pos/zipW1.hs, 0.7964, True
Tests/Unit/pos/zipW.hs, 0.8138, True
Tests/Unit/pos/zipSO.hs, 0.8211, True
Tests/Unit/pos/zipper000.hs, 0.8230, True
Tests/Unit/pos/zipper0.hs, 0.9911, True
Tests/Unit/pos/zipper.hs, 1.5852, True
Tests/Unit/pos/wrap1.hs, 1.0549, True
Tests/Unit/pos/wrap0.hs, 0.8722, True
Tests/Unit/pos/Words1.hs, 0.7881, True
Tests/Unit/pos/Words.hs, 0.7385, True
Tests/Unit/pos/WBL0.hs, 1.6492, True
Tests/Unit/pos/WBL.hs, 1.7614, True
Tests/Unit/pos/vector2.hs, 1.4515, True
Tests/Unit/pos/vector1b.hs, 1.1054, True
Tests/Unit/pos/vector1a.hs, 1.1953, True
Tests/Unit/pos/vector1.hs, 1.1288, True
Tests/Unit/pos/vector00.hs, 0.8462, True
Tests/Unit/pos/vector0.hs, 1.2151, True
Tests/Unit/pos/vecloop.hs, 0.9773, True
Tests/Unit/pos/Variance.hs, 0.7840, True
Tests/Unit/pos/unusedtyvars.hs, 0.7529, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8769, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7066, True
Tests/Unit/pos/tyvar.hs, 0.7256, True
Tests/Unit/pos/TypeFamilies.hs, 0.7912, True
Tests/Unit/pos/TypeAlias.hs, 0.7229, True
Tests/Unit/pos/tyfam0.hs, 0.8103, True
Tests/Unit/pos/tyExpr.hs, 0.7638, True
Tests/Unit/pos/tyclass0.hs, 0.8181, True
Tests/Unit/pos/tupparse.hs, 0.8227, True
Tests/Unit/pos/tup0.hs, 0.7450, True
Tests/Unit/pos/transTAG.hs, 1.7026, True
Tests/Unit/pos/transpose.hs, 1.1728, True
Tests/Unit/pos/trans.hs, 1.0149, True
Tests/Unit/pos/ToyMVar.hs, 1.0586, True
Tests/Unit/pos/TopLevel.hs, 0.8104, True
Tests/Unit/pos/top0.hs, 0.8454, True
Tests/Unit/pos/TokenType.hs, 0.7313, True
Tests/Unit/pos/testRec.hs, 0.7868, True
Tests/Unit/pos/Test761.hs, 0.7931, True
Tests/Unit/pos/test2.hs, 0.8396, True
Tests/Unit/pos/test1.hs, 0.7905, True
Tests/Unit/pos/test00c.hs, 1.6082, True
Tests/Unit/pos/test00b.hs, 1.1439, True
Tests/Unit/pos/test000.hs, 1.0378, True
Tests/Unit/pos/test00.old.hs, 1.1485, True
Tests/Unit/pos/test00.hs, 1.3110, True
Tests/Unit/pos/test00-int.hs, 1.2234, True
Tests/Unit/pos/test0.hs, 1.0589, True
Tests/Unit/pos/TerminationNum0.hs, 0.9993, True
Tests/Unit/pos/TerminationNum.hs, 0.9950, True
Tests/Unit/pos/Termination.lhs, 1.6724, True
Tests/Unit/pos/term0.hs, 1.1514, True
Tests/Unit/pos/Term.hs, 1.0685, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.4218, True
Tests/Unit/pos/TemplateHaskell.hs, 1.2131, True
Tests/Unit/pos/take.hs, 1.2652, True
Tests/Unit/pos/tagBinder.hs, 0.7997, True
Tests/Unit/pos/T716.hs, 1.0207, True
Tests/Unit/pos/T675.hs, 1.1860, True
Tests/Unit/pos/T598.hs, 1.0861, True
Tests/Unit/pos/T595a.hs, 0.8480, True
Tests/Unit/pos/T595.hs, 0.9783, True
Tests/Unit/pos/T531.hs, 0.8104, True
Tests/Unit/pos/Sum.hs, 0.7990, True
Tests/Unit/pos/StructRec.hs, 0.7280, True
Tests/Unit/pos/Strings.hs, 0.7559, True
Tests/Unit/pos/StringLit.hs, 0.7003, True
Tests/Unit/pos/string00.hs, 0.7562, True
Tests/Unit/pos/StrictPair1.hs, 0.9997, True
Tests/Unit/pos/StrictPair0.hs, 0.7765, True
Tests/Unit/pos/StreamInvariants.hs, 0.7276, True
Tests/Unit/pos/stateInvarint.hs, 1.0327, True
Tests/Unit/pos/StateF00.hs, 0.7623, True
Tests/Unit/pos/StateConstraints00.hs, 0.7987, True
Tests/Unit/pos/StateConstraints0.hs, 12.3808, True
Tests/Unit/pos/StateConstraints.hs, 6.9058, True
Tests/Unit/pos/State1.hs, 0.8804, True
Tests/Unit/pos/state00.hs, 0.9258, True
Tests/Unit/pos/State.hs, 0.8508, True
Tests/Unit/pos/stacks0.hs, 0.8176, True
Tests/Unit/pos/StackClass.hs, 0.7432, True
Tests/Unit/pos/spec0.hs, 0.7857, True
Tests/Unit/pos/Solver.hs, 1.3440, True
Tests/Unit/pos/SimplifyTup00.hs, 0.7950, True
Tests/Unit/pos/SimplerNotation.hs, 0.7235, True
Tests/Unit/pos/selfList.hs, 0.8174, True
Tests/Unit/pos/scanr.hs, 0.8247, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7889, True
Tests/Unit/pos/risers.hs, 0.8394, True
Tests/Unit/pos/ResolvePred.hs, 0.7733, True
Tests/Unit/pos/ResolveB.hs, 0.7095, True
Tests/Unit/pos/ResolveA.hs, 0.7566, True
Tests/Unit/pos/Resolve.hs, 0.7279, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.2404, True
Tests/Unit/pos/Repeat.hs, 0.7613, True
