 (HEAD) : 6f7f671209176a1307e2c99bb0de378dfee9ba99
Timestamp: 2016-07-11 16:16:23 -0700
Epoch Timestamp: 1468278983
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7881, True
Tests/Unit/pos/zipW1.hs, 0.7826, True
Tests/Unit/pos/zipW.hs, 0.8249, True
Tests/Unit/pos/zipSO.hs, 0.7914, True
Tests/Unit/pos/zipper000.hs, 0.8259, True
Tests/Unit/pos/zipper0.hs, 0.9789, True
Tests/Unit/pos/zipper.hs, 1.5437, True
Tests/Unit/pos/wrap1.hs, 1.0721, True
Tests/Unit/pos/wrap0.hs, 0.8914, True
Tests/Unit/pos/Words1.hs, 0.7669, True
Tests/Unit/pos/Words.hs, 0.7866, True
Tests/Unit/pos/WBL0.hs, 1.7053, True
Tests/Unit/pos/WBL.hs, 1.7874, True
Tests/Unit/pos/vector2.hs, 1.5678, True
Tests/Unit/pos/vector1b.hs, 1.1277, True
Tests/Unit/pos/vector1a.hs, 1.4716, True
Tests/Unit/pos/vector1.hs, 1.1922, True
Tests/Unit/pos/vector00.hs, 0.8661, True
Tests/Unit/pos/vector0.hs, 1.1853, True
Tests/Unit/pos/vecloop.hs, 0.9646, True
Tests/Unit/pos/Variance.hs, 0.7447, True
Tests/Unit/pos/unusedtyvars.hs, 1.0385, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 1.1706, True
Tests/Unit/pos/UnboxedTuples.hs, 0.8597, True
Tests/Unit/pos/tyvar.hs, 0.8414, True
Tests/Unit/pos/TypeFamilies.hs, 0.8919, True
Tests/Unit/pos/TypeAlias.hs, 0.8524, True
Tests/Unit/pos/tyfam0.hs, 0.8005, True
Tests/Unit/pos/tyExpr.hs, 0.9062, True
Tests/Unit/pos/tyclass0.hs, 0.7297, True
Tests/Unit/pos/tupparse.hs, 0.9119, True
Tests/Unit/pos/tup0.hs, 0.8012, True
Tests/Unit/pos/transTAG.hs, 1.9388, True
Tests/Unit/pos/transpose.hs, 1.3597, True
Tests/Unit/pos/trans.hs, 0.9908, True
Tests/Unit/pos/ToyMVar.hs, 1.5454, True
Tests/Unit/pos/TopLevel.hs, 0.8687, True
Tests/Unit/pos/top0.hs, 0.9230, True
Tests/Unit/pos/TokenType.hs, 0.7661, True
Tests/Unit/pos/testRec.hs, 0.8289, True
Tests/Unit/pos/Test761.hs, 1.2074, True
Tests/Unit/pos/test2.hs, 1.1725, True
Tests/Unit/pos/test1.hs, 1.1509, True
Tests/Unit/pos/test00c.hs, 0.9459, True
Tests/Unit/pos/test00b.hs, 0.7930, True
Tests/Unit/pos/test000.hs, 0.8028, True
Tests/Unit/pos/test00.old.hs, 0.7990, True
Tests/Unit/pos/test00.hs, 0.8244, True
Tests/Unit/pos/test00-int.hs, 0.7823, True
Tests/Unit/pos/test0.hs, 0.7914, True
Tests/Unit/pos/TerminationNum0.hs, 0.7517, True
Tests/Unit/pos/TerminationNum.hs, 0.7384, True
Tests/Unit/pos/Termination.lhs, 1.2672, True
Tests/Unit/pos/term0.hs, 0.8643, True
Tests/Unit/pos/Term.hs, 0.7965, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0017, True
