 (HEAD) : 55943149dbb8c5ee182afca28280990591453ae1
Timestamp: 2016-07-08 10:26:57 -0700
Epoch Timestamp: 1467998817
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 1.1315, True
Tests/Unit/pos/zipW1.hs, 1.3924, True
Tests/Unit/pos/zipW.hs, 1.0356, True
Tests/Unit/pos/zipSO.hs, 0.9389, True
Tests/Unit/pos/zipper000.hs, 0.8756, True
Tests/Unit/pos/zipper0.hs, 0.8520, True
Tests/Unit/pos/zipper.hs, 1.5720, True
Tests/Unit/pos/wrap1.hs, 1.4120, True
Tests/Unit/pos/wrap0.hs, 0.9266, True
Tests/Unit/pos/Words1.hs, 0.8386, True
Tests/Unit/pos/Words.hs, 0.8643, True
Tests/Unit/pos/WBL0.hs, 2.0327, True
Tests/Unit/pos/WBL.hs, 1.7017, True
Tests/Unit/pos/vector2.hs, 1.7482, True
Tests/Unit/pos/vector1b.hs, 1.5474, True
Tests/Unit/pos/vector1a.hs, 1.4792, True
Tests/Unit/pos/vector1.hs, 1.1171, True
Tests/Unit/pos/vector00.hs, 0.8516, True
Tests/Unit/pos/vector0.hs, 1.4226, True
Tests/Unit/pos/vecloop.hs, 0.9803, True
Tests/Unit/pos/Variance.hs, 0.8337, True
Tests/Unit/pos/unusedtyvars.hs, 0.7887, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.9304, True
Tests/Unit/pos/UnboxedTuples.hs, 0.9561, True
Tests/Unit/pos/tyvar.hs, 0.8407, True
Tests/Unit/pos/TypeFamilies.hs, 0.8159, True
Tests/Unit/pos/TypeAlias.hs, 0.8505, True
Tests/Unit/pos/tyfam0.hs, 0.8292, True
Tests/Unit/pos/tyExpr.hs, 0.7299, True
Tests/Unit/pos/tyclass0.hs, 0.7456, True
Tests/Unit/pos/tupparse.hs, 0.8213, True
Tests/Unit/pos/tup0.hs, 0.7347, True
Tests/Unit/pos/transTAG.hs, 1.6949, True
Tests/Unit/pos/transpose.hs, 1.1525, True
Tests/Unit/pos/trans.hs, 0.9047, True
Tests/Unit/pos/ToyMVar.hs, 0.9922, True
Tests/Unit/pos/TopLevel.hs, 0.7668, True
