 (HEAD) : 3b07a3d8d18158bfd7411a97e2f98fc3c760bffd
Timestamp: 2016-07-08 10:26:35 -0700
Epoch Timestamp: 1467998795
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.7992, True
Tests/Unit/pos/zipW1.hs, 0.8269, True
Tests/Unit/pos/zipW.hs, 0.7941, True
Tests/Unit/pos/zipSO.hs, 0.7510, True
Tests/Unit/pos/zipper000.hs, 0.7527, True
Tests/Unit/pos/zipper0.hs, 0.8900, True
Tests/Unit/pos/zipper.hs, 1.7473, True
Tests/Unit/pos/wrap1.hs, 1.1437, True
Tests/Unit/pos/wrap0.hs, 1.0053, True
Tests/Unit/pos/Words1.hs, 0.8922, True
Tests/Unit/pos/Words.hs, 0.7818, True
Tests/Unit/pos/WBL0.hs, 1.8011, True
Tests/Unit/pos/WBL.hs, 1.9290, True
Tests/Unit/pos/vector2.hs, 1.7577, True
Tests/Unit/pos/vector1b.hs, 1.2443, True
Tests/Unit/pos/vector1a.hs, 1.1251, True
Tests/Unit/pos/vector1.hs, 1.0212, True
Tests/Unit/pos/vector00.hs, 0.8305, True
Tests/Unit/pos/vector0.hs, 1.1094, True
Tests/Unit/pos/vecloop.hs, 0.9474, True
Tests/Unit/pos/Variance.hs, 0.7260, True
Tests/Unit/pos/unusedtyvars.hs, 0.6914, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8761, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7006, True
Tests/Unit/pos/tyvar.hs, 0.7182, True
Tests/Unit/pos/TypeFamilies.hs, 0.8188, True
Tests/Unit/pos/TypeAlias.hs, 0.7352, True
Tests/Unit/pos/tyfam0.hs, 0.9361, True
Tests/Unit/pos/tyExpr.hs, 0.7565, True
Tests/Unit/pos/tyclass0.hs, 0.7122, True
Tests/Unit/pos/tupparse.hs, 0.8111, True
Tests/Unit/pos/tup0.hs, 0.7023, True
Tests/Unit/pos/transTAG.hs, 1.6299, True
Tests/Unit/pos/transpose.hs, 1.1571, True
Tests/Unit/pos/trans.hs, 0.9102, True
Tests/Unit/pos/ToyMVar.hs, 1.1781, True
Tests/Unit/pos/TopLevel.hs, 0.8518, True
Tests/Unit/pos/top0.hs, 0.8621, True
Tests/Unit/pos/TokenType.hs, 0.7768, True
Tests/Unit/pos/testRec.hs, 0.7758, True
Tests/Unit/pos/Test761.hs, 0.7519, True
Tests/Unit/pos/test2.hs, 0.8060, True
Tests/Unit/pos/test1.hs, 0.8193, True
Tests/Unit/pos/test00c.hs, 0.8241, True
Tests/Unit/pos/test00b.hs, 0.7950, True
Tests/Unit/pos/test000.hs, 0.7719, True
Tests/Unit/pos/test00.old.hs, 0.8309, True
Tests/Unit/pos/test00.hs, 0.8872, True
Tests/Unit/pos/test00-int.hs, 0.7877, True
Tests/Unit/pos/test0.hs, 0.7501, True
Tests/Unit/pos/TerminationNum0.hs, 0.7753, True
Tests/Unit/pos/TerminationNum.hs, 0.7183, True
Tests/Unit/pos/Termination.lhs, 1.2932, True
Tests/Unit/pos/term0.hs, 0.8007, True
Tests/Unit/pos/Term.hs, 0.7300, True
Tests/Unit/pos/TemplateHaskellImp.hs, 0.9418, True
Tests/Unit/pos/TemplateHaskell.hs, 0.8442, True
Tests/Unit/pos/take.hs, 0.8893, True
Tests/Unit/pos/tagBinder.hs, 0.6547, True
Tests/Unit/pos/T716.hs, 0.7543, True
Tests/Unit/pos/T675.hs, 1.0068, True
Tests/Unit/pos/T598.hs, 1.0477, True
Tests/Unit/pos/T595a.hs, 0.7016, True
Tests/Unit/pos/T595.hs, 0.7686, True
Tests/Unit/pos/T531.hs, 0.7069, True
Tests/Unit/pos/Sum.hs, 0.7378, True
Tests/Unit/pos/StructRec.hs, 0.7415, True
Tests/Unit/pos/Strings.hs, 0.7384, True
Tests/Unit/pos/StringLit.hs, 0.6721, True
Tests/Unit/pos/string00.hs, 0.8107, True
Tests/Unit/pos/StrictPair1.hs, 0.9490, True
Tests/Unit/pos/StrictPair0.hs, 0.7477, True
Tests/Unit/pos/StreamInvariants.hs, 0.7779, True
Tests/Unit/pos/stateInvarint.hs, 0.8683, True
Tests/Unit/pos/StateF00.hs, 0.7820, True
Tests/Unit/pos/StateConstraints00.hs, 0.8107, True
Tests/Unit/pos/StateConstraints0.hs, 12.9262, True
Tests/Unit/pos/StateConstraints.hs, 7.1507, True
Tests/Unit/pos/State1.hs, 0.8082, True
Tests/Unit/pos/state00.hs, 0.7633, True
Tests/Unit/pos/State.hs, 0.8407, True
Tests/Unit/pos/stacks0.hs, 0.8786, True
Tests/Unit/pos/StackClass.hs, 0.8310, True
Tests/Unit/pos/spec0.hs, 0.8156, True
Tests/Unit/pos/Solver.hs, 1.5097, True
Tests/Unit/pos/SimplifyTup00.hs, 0.7787, True
Tests/Unit/pos/SimplerNotation.hs, 0.7325, True
Tests/Unit/pos/selfList.hs, 0.8737, True
Tests/Unit/pos/scanr.hs, 0.8514, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7858, True
Tests/Unit/pos/risers.hs, 0.9172, True
Tests/Unit/pos/ResolvePred.hs, 0.8218, True
Tests/Unit/pos/ResolveB.hs, 0.7963, True
Tests/Unit/pos/ResolveA.hs, 0.7833, True
Tests/Unit/pos/Resolve.hs, 0.8821, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.2491, True
Tests/Unit/pos/Repeat.hs, 0.8417, True
Tests/Unit/pos/RelativeComplete.hs, 0.8738, True
Tests/Unit/pos/recursion0.hs, 1.1996, True
Tests/Unit/pos/RecSelector.hs, 1.0246, True
Tests/Unit/pos/RecQSort0.hs, 1.1253, True
Tests/Unit/pos/RecQSort.hs, 0.9826, True
Tests/Unit/pos/RecordSelectorError.hs, 0.7562, True
Tests/Unit/pos/record1.hs, 0.7733, True
Tests/Unit/pos/record0.hs, 0.8401, True
Tests/Unit/pos/rec_annot_go.hs, 0.9316, True
Tests/Unit/pos/RealProps1.hs, 0.7947, True
Tests/Unit/pos/RealProps.hs, 0.8021, True
Tests/Unit/pos/RBTree.hs, 11.5181, True
Tests/Unit/pos/RBTree-ord.hs, 6.8366, True
Tests/Unit/pos/RBTree-height.hs, 2.6502, True
Tests/Unit/pos/RBTree-color.hs, 3.4644, True
Tests/Unit/pos/RBTree-col-height.hs, 4.2921, True
Tests/Unit/pos/rangeAdt.hs, 1.8620, True
Tests/Unit/pos/range1.hs, 0.8506, True
Tests/Unit/pos/range.hs, 1.0727, True
Tests/Unit/pos/qualTest.hs, 0.7785, True
Tests/Unit/pos/QQTySyn.hs, 3.4917, True
Tests/Unit/pos/QQTySigTyVars.hs, 3.0854, True
Tests/Unit/pos/QQTySig.hs, 3.4313, True
Tests/Unit/pos/propmeasure1.hs, 0.7906, True
Tests/Unit/pos/propmeasure.hs, 0.9856, True
Tests/Unit/pos/Propability.hs, 1.0178, True
Tests/Unit/pos/PromotedDataCons.hs, 0.7774, True
Tests/Unit/pos/profcrasher.hs, 0.7377, True
Tests/Unit/pos/Product.hs, 1.1963, True
Tests/Unit/pos/primInt0.hs, 0.8265, True
Tests/Unit/pos/pred.hs, 0.7323, True
Tests/Unit/pos/pragma0.hs, 0.6890, True
Tests/Unit/pos/poslist_dc.hs, 0.7821, True
Tests/Unit/pos/poslist.hs, 0.8441, True
Tests/Unit/pos/polyqual.hs, 1.0403, True
Tests/Unit/pos/polyfun.hs, 0.8049, True
Tests/Unit/pos/poly4.hs, 0.7531, True
Tests/Unit/pos/poly3a.hs, 0.7680, True
Tests/Unit/pos/poly3.hs, 0.8020, True
Tests/Unit/pos/poly2.hs, 0.9878, True
Tests/Unit/pos/poly2-degenerate.hs, 0.9088, True
Tests/Unit/pos/poly1.hs, 0.8905, True
Tests/Unit/pos/poly0.hs, 1.0657, True
Tests/Unit/pos/PointDist.hs, 0.8331, True
Tests/Unit/pos/PlugHoles.hs, 0.6840, True
Tests/Unit/pos/PersistentVector.hs, 0.7893, True
Tests/Unit/pos/Permutation.hs, 1.3987, True
Tests/Unit/pos/partialmeasure.hs, 0.7603, True
Tests/Unit/pos/partial-tycon.hs, 0.7018, True
Tests/Unit/pos/pargs1.hs, 0.6731, True
Tests/Unit/pos/pargs.hs, 0.6804, True
Tests/Unit/pos/PairMeasure0.hs, 0.7075, True
Tests/Unit/pos/PairMeasure.hs, 0.7159, True
Tests/Unit/pos/pair00.hs, 1.1659, True
Tests/Unit/pos/pair0.hs, 1.4881, True
Tests/Unit/pos/pair.hs, 1.7308, True
Tests/Unit/pos/Overwrite.hs, 0.8011, True
Tests/Unit/pos/OrdList.hs, 19.6681, True
Tests/Unit/pos/nullterm.hs, 1.4730, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.8441, True
Tests/Unit/pos/NoCaseExpand.hs, 1.5171, True
Tests/Unit/pos/niki1.hs, 0.8152, True
Tests/Unit/pos/niki.hs, 0.7770, True
Tests/Unit/pos/nats.hs, 0.7851, True
Tests/Unit/pos/MutualRec.hs, 2.6956, True
Tests/Unit/pos/mutrec.hs, 1.0529, True
Tests/Unit/pos/MultipleInvariants.hs, 0.7977, True
Tests/Unit/pos/multi-pred-app-00.hs, 0.7560, True
Tests/Unit/pos/Moo.hs, 0.8310, True
Tests/Unit/pos/monad7.hs, 1.0123, True
Tests/Unit/pos/monad6.hs, 0.8549, True
Tests/Unit/pos/monad5.hs, 1.1861, True
Tests/Unit/pos/monad2.hs, 0.7788, True
Tests/Unit/pos/monad1.hs, 0.7850, True
Tests/Unit/pos/modTest.hs, 1.1416, True
Tests/Unit/pos/Mod2.hs, 0.8693, True
Tests/Unit/pos/Mod1.hs, 1.3453, True
Tests/Unit/pos/MergeSort.hs, 1.2747, True
Tests/Unit/pos/Merge1.hs, 1.0987, True
Tests/Unit/pos/MeasureSets.hs, 0.9957, True
Tests/Unit/pos/Measures1.hs, 0.7717, True
Tests/Unit/pos/Measures.hs, 0.7342, True
Tests/Unit/pos/MeasureDups.hs, 1.0021, True
Tests/Unit/pos/MeasureContains.hs, 0.8587, True
Tests/Unit/pos/meas9.hs, 0.8563, True
Tests/Unit/pos/meas8.hs, 0.8422, True
Tests/Unit/pos/meas7.hs, 0.7973, True
Tests/Unit/pos/meas6.hs, 0.9970, True
Tests/Unit/pos/meas5.hs, 1.3357, True
Tests/Unit/pos/meas4.hs, 1.3515, True
Tests/Unit/pos/meas3.hs, 1.5201, True
Tests/Unit/pos/meas2.hs, 1.3180, True
Tests/Unit/pos/meas11.hs, 0.9317, True
Tests/Unit/pos/meas10.hs, 0.8765, True
Tests/Unit/pos/meas1.hs, 0.9808, True
Tests/Unit/pos/meas0a.hs, 0.9758, True
Tests/Unit/pos/meas00a.hs, 1.1439, True
Tests/Unit/pos/meas00.hs, 0.8979, True
Tests/Unit/pos/meas0.hs, 1.0491, True
Tests/Unit/pos/maybe4.hs, 0.9191, True
Tests/Unit/pos/maybe3.hs, 0.8470, True
Tests/Unit/pos/maybe2.hs, 1.2391, True
Tests/Unit/pos/maybe1.hs, 0.9027, True
Tests/Unit/pos/maybe000.hs, 1.0109, True
Tests/Unit/pos/maybe00.hs, 0.7764, True
Tests/Unit/pos/maybe0.hs, 0.9786, True
Tests/Unit/pos/maybe.hs, 1.2673, True
Tests/Unit/pos/mapTvCrash.hs, 0.9816, True
Tests/Unit/pos/maps1.hs, 0.8681, True
Tests/Unit/pos/maps.hs, 0.9579, True
Tests/Unit/pos/mapreduce.hs, 2.0612, True
Tests/Unit/pos/mapreduce-bare.hs, 3.8672, True
Tests/Unit/pos/Map2.hs, 9.6192, True
Tests/Unit/pos/Map0.hs, 9.3553, True
Tests/Unit/pos/Map.hs, 9.1131, True
Tests/Unit/pos/malformed0.hs, 0.9858, True
Tests/Unit/pos/Loo.hs, 0.6788, True
Tests/Unit/pos/LogicCurry1.hs, 0.6666, True
Tests/Unit/pos/LocalTermExpr.hs, 0.7612, True
Tests/Unit/pos/LocalSpecImp.hs, 0.6750, True
Tests/Unit/pos/LocalSpec0.hs, 0.6794, True
Tests/Unit/pos/LocalSpec.hs, 0.7094, True
Tests/Unit/pos/LocalLazy.hs, 0.7132, True
Tests/Unit/pos/LocalHole.hs, 0.7069, True
Tests/Unit/pos/lit00.hs, 0.7160, True
Tests/Unit/pos/lit.hs, 0.6691, True
Tests/Unit/pos/ListSort.hs, 1.7943, True
Tests/Unit/pos/listSetDemo.hs, 0.7857, True
Tests/Unit/pos/listSet.hs, 0.8245, True
Tests/Unit/pos/ListReverse-LType.hs, 0.7461, True
Tests/Unit/pos/ListRange.hs, 0.8137, True
Tests/Unit/pos/ListRange-LType.hs, 0.8287, True
Tests/Unit/pos/listqual.hs, 0.7208, True
Tests/Unit/pos/ListQSort.hs, 1.3178, True
Tests/Unit/pos/ListQSort-LType.hs, 1.2231, True
Tests/Unit/pos/ListMSort.hs, 1.1922, True
Tests/Unit/pos/ListMSort-LType.hs, 2.0750, True
Tests/Unit/pos/ListLen.hs, 1.1569, True
Tests/Unit/pos/ListLen-LType.hs, 1.1387, True
Tests/Unit/pos/ListKeys.hs, 0.8083, True
Tests/Unit/pos/ListISort.hs, 0.8203, True
Tests/Unit/pos/ListISort-LType.hs, 1.0953, True
Tests/Unit/pos/ListElem.hs, 0.6953, True
Tests/Unit/pos/ListConcat.hs, 0.7020, True
Tests/Unit/pos/listAnf.hs, 0.7508, True
Tests/Unit/pos/LiquidClass.hs, 0.6758, True
Tests/Unit/pos/LiquidArray.hs, 0.6819, True
Tests/Unit/pos/lex.hs, 0.7519, True
Tests/Unit/pos/lets.hs, 0.9013, True
Tests/Unit/pos/LazyWhere1.hs, 0.7435, True
Tests/Unit/pos/LazyWhere.hs, 0.7050, True
Tests/Unit/pos/LambdaEvalTiny.hs, 0.9368, True
Tests/Unit/pos/LambdaEvalSuperTiny.hs, 0.8901, True
Tests/Unit/pos/LambdaEvalMini.hs, 1.9922, True
Tests/Unit/pos/LambdaEval.hs, 10.2725, True
Tests/Unit/pos/LambdaDeBruijn.hs, 1.1768, True
Tests/Unit/pos/kmpVec.hs, 1.6257, True
