 (HEAD) : 6a7aaaaecc688fd8e0386f94f656462baf7d4343
Timestamp: 2016-07-08 10:24:51 -0700
Epoch Timestamp: 1467998691
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.9261, True
Tests/Unit/pos/zipW1.hs, 0.8763, True
Tests/Unit/pos/zipW.hs, 1.0296, True
Tests/Unit/pos/zipSO.hs, 0.9926, True
Tests/Unit/pos/zipper000.hs, 0.9069, True
Tests/Unit/pos/zipper0.hs, 1.1060, True
Tests/Unit/pos/zipper.hs, 1.5618, True
Tests/Unit/pos/wrap1.hs, 1.0607, True
Tests/Unit/pos/wrap0.hs, 0.9116, True
Tests/Unit/pos/Words1.hs, 0.7512, True
Tests/Unit/pos/Words.hs, 0.7597, True
Tests/Unit/pos/WBL0.hs, 1.6442, True
Tests/Unit/pos/WBL.hs, 1.6436, True
Tests/Unit/pos/vector2.hs, 1.4164, True
Tests/Unit/pos/vector1b.hs, 1.1208, True
Tests/Unit/pos/vector1a.hs, 1.1343, True
Tests/Unit/pos/vector1.hs, 1.0985, True
Tests/Unit/pos/vector00.hs, 0.9168, True
Tests/Unit/pos/vector0.hs, 1.1470, True
Tests/Unit/pos/vecloop.hs, 0.9896, True
Tests/Unit/pos/Variance.hs, 0.7614, True
Tests/Unit/pos/unusedtyvars.hs, 0.7285, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8407, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7645, True
Tests/Unit/pos/tyvar.hs, 0.7445, True
Tests/Unit/pos/TypeFamilies.hs, 0.8220, True
Tests/Unit/pos/TypeAlias.hs, 0.7221, True
Tests/Unit/pos/tyfam0.hs, 0.7986, True
Tests/Unit/pos/tyExpr.hs, 0.7224, True
Tests/Unit/pos/tyclass0.hs, 0.9977, True
Tests/Unit/pos/tupparse.hs, 1.1503, True
Tests/Unit/pos/tup0.hs, 0.9961, True
Tests/Unit/pos/transTAG.hs, 2.3391, True
Tests/Unit/pos/transpose.hs, 1.7738, True
Tests/Unit/pos/trans.hs, 1.4764, True
Tests/Unit/pos/ToyMVar.hs, 1.2905, True
Tests/Unit/pos/TopLevel.hs, 0.8579, True
Tests/Unit/pos/top0.hs, 0.8905, True
Tests/Unit/pos/TokenType.hs, 0.8277, True
Tests/Unit/pos/testRec.hs, 0.8875, True
Tests/Unit/pos/Test761.hs, 0.9137, True
Tests/Unit/pos/test2.hs, 0.9049, True
Tests/Unit/pos/test1.hs, 0.9827, True
Tests/Unit/pos/test00c.hs, 1.3247, True
Tests/Unit/pos/test00b.hs, 1.0556, True
Tests/Unit/pos/test000.hs, 0.9195, True
Tests/Unit/pos/test00.old.hs, 0.8421, True
Tests/Unit/pos/test00.hs, 0.7951, True
Tests/Unit/pos/test00-int.hs, 0.7753, True
Tests/Unit/pos/test0.hs, 0.8374, True
Tests/Unit/pos/TerminationNum0.hs, 0.8199, True
Tests/Unit/pos/TerminationNum.hs, 0.8244, True
Tests/Unit/pos/Termination.lhs, 1.4319, True
Tests/Unit/pos/term0.hs, 0.9604, True
Tests/Unit/pos/Term.hs, 0.9234, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0599, True
Tests/Unit/pos/TemplateHaskell.hs, 1.0949, True
Tests/Unit/pos/take.hs, 1.0057, True
Tests/Unit/pos/tagBinder.hs, 0.7554, True
Tests/Unit/pos/T716.hs, 0.8305, True
Tests/Unit/pos/T675.hs, 0.9299, True
Tests/Unit/pos/T598.hs, 0.8966, True
Tests/Unit/pos/T595a.hs, 0.7445, True
Tests/Unit/pos/T595.hs, 1.0165, True
Tests/Unit/pos/T531.hs, 0.9426, True
Tests/Unit/pos/Sum.hs, 0.8161, True
Tests/Unit/pos/StructRec.hs, 0.7900, True
Tests/Unit/pos/Strings.hs, 0.7871, True
Tests/Unit/pos/StringLit.hs, 0.7550, True
Tests/Unit/pos/string00.hs, 0.9819, True
Tests/Unit/pos/StrictPair1.hs, 1.0041, True
Tests/Unit/pos/StrictPair0.hs, 0.8188, True
Tests/Unit/pos/StreamInvariants.hs, 0.7390, True
Tests/Unit/pos/stateInvarint.hs, 0.9294, True
Tests/Unit/pos/StateF00.hs, 0.7702, True
Tests/Unit/pos/StateConstraints00.hs, 0.7760, True
Tests/Unit/pos/StateConstraints0.hs, 11.9106, True
Tests/Unit/pos/StateConstraints.hs, 6.5904, True
Tests/Unit/pos/State1.hs, 0.7971, True
Tests/Unit/pos/state00.hs, 0.8483, True
Tests/Unit/pos/State.hs, 0.8484, True
Tests/Unit/pos/stacks0.hs, 0.8213, True
Tests/Unit/pos/StackClass.hs, 0.7729, True
Tests/Unit/pos/spec0.hs, 0.8125, True
Tests/Unit/pos/Solver.hs, 1.3116, True
Tests/Unit/pos/SimplifyTup00.hs, 0.7504, True
Tests/Unit/pos/SimplerNotation.hs, 0.7367, True
Tests/Unit/pos/selfList.hs, 0.9720, True
Tests/Unit/pos/scanr.hs, 0.8348, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.9764, True
Tests/Unit/pos/risers.hs, 0.8516, True
Tests/Unit/pos/ResolvePred.hs, 0.7878, True
Tests/Unit/pos/ResolveB.hs, 1.0991, True
Tests/Unit/pos/ResolveA.hs, 0.8293, True
Tests/Unit/pos/Resolve.hs, 0.8608, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.2206, True
Tests/Unit/pos/Repeat.hs, 0.7870, True
Tests/Unit/pos/RelativeComplete.hs, 0.8053, True
Tests/Unit/pos/recursion0.hs, 0.7964, True
Tests/Unit/pos/RecSelector.hs, 0.7568, True
Tests/Unit/pos/RecQSort0.hs, 0.9314, True
Tests/Unit/pos/RecQSort.hs, 0.9048, True
Tests/Unit/pos/RecordSelectorError.hs, 0.7772, True
Tests/Unit/pos/record1.hs, 0.7730, True
Tests/Unit/pos/record0.hs, 0.8823, True
Tests/Unit/pos/rec_annot_go.hs, 0.9109, True
Tests/Unit/pos/RealProps1.hs, 0.8083, True
Tests/Unit/pos/RealProps.hs, 0.7981, True
Tests/Unit/pos/RBTree.hs, 10.3631, True
Tests/Unit/pos/RBTree-ord.hs, 6.6663, True
Tests/Unit/pos/RBTree-height.hs, 3.6847, True
Tests/Unit/pos/RBTree-color.hs, 3.6059, True
Tests/Unit/pos/RBTree-col-height.hs, 4.0077, True
Tests/Unit/pos/rangeAdt.hs, 1.7679, True
Tests/Unit/pos/range1.hs, 0.8200, True
Tests/Unit/pos/range.hs, 1.0863, True
Tests/Unit/pos/qualTest.hs, 0.8106, True
Tests/Unit/pos/QQTySyn.hs, 3.4869, True
Tests/Unit/pos/QQTySigTyVars.hs, 3.2159, True
Tests/Unit/pos/QQTySig.hs, 3.1291, True
Tests/Unit/pos/propmeasure1.hs, 0.8197, True
Tests/Unit/pos/propmeasure.hs, 0.8576, True
Tests/Unit/pos/Propability.hs, 0.8469, True
Tests/Unit/pos/PromotedDataCons.hs, 0.7345, True
Tests/Unit/pos/profcrasher.hs, 0.8265, True
Tests/Unit/pos/Product.hs, 1.1566, True
Tests/Unit/pos/primInt0.hs, 0.9319, True
Tests/Unit/pos/pred.hs, 0.9168, True
Tests/Unit/pos/pragma0.hs, 0.7304, True
Tests/Unit/pos/poslist_dc.hs, 0.8540, True
Tests/Unit/pos/poslist.hs, 0.9473, True
Tests/Unit/pos/polyqual.hs, 1.1529, True
Tests/Unit/pos/polyfun.hs, 0.8389, True
Tests/Unit/pos/poly4.hs, 0.8001, True
Tests/Unit/pos/poly3a.hs, 0.7748, True
